ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
7473,A,Ship,4,4,254,5,low,M,2,1573
10301,C,Ship,4,2,207,3,medium,F,5,4702
8819,C,Ship,4,5,234,5,low,F,2,1087
7300,B,Ship,5,4,250,4,low,M,2,4183
1671,A,Ship,4,2,209,4,low,F,10,3370
1321,D,Ship,5,1,134,3,high,F,12,1775
10050,F,Ship,4,2,239,4,medium,M,8,4039
5419,D,Ship,5,5,209,2,low,F,3,4348
5031,A,Ship,6,3,281,4,medium,F,7,1599
2969,C,Ship,4,3,165,3,low,M,4,1484
10773,A,Ship,4,4,229,5,medium,F,7,1716
6020,F,Road,6,5,282,4,medium,M,3,1385
5365,D,Ship,4,1,200,2,low,M,5,5072
4835,C,Ship,3,3,153,3,medium,M,5,4578
788,F,Ship,5,1,160,3,medium,F,22,1693
5281,D,Ship,6,5,261,4,low,F,3,1217
1146,F,Ship,5,1,186,10,low,M,64,2529
5888,F,Flight,3,2,227,2,medium,M,10,4290
460,B,Ship,5,2,168,3,low,M,26,1526
1600,B,Ship,3,3,198,3,low,M,49,2446
10296,F,Ship,5,5,132,4,low,F,8,4339
5266,B,Ship,6,3,282,4,medium,M,3,1661
3968,F,Road,3,1,135,2,low,M,7,5682
182,F,Ship,4,5,157,3,low,M,20,1487
441,A,Ship,3,5,251,2,high,M,23,2426
801,A,Road,5,5,170,2,medium,F,36,1278
3115,D,Ship,4,2,217,3,low,M,1,3133
6687,A,Road,4,5,105,5,high,M,4,5824
8151,A,Ship,3,3,164,3,high,M,9,5070
5206,B,Flight,3,5,247,3,low,F,4,5891
8582,F,Ship,4,4,243,5,medium,M,10,4356
140,F,Flight,5,1,237,2,low,F,10,3860
4331,C,Ship,5,2,168,4,low,M,10,5373
10841,C,Ship,3,1,139,2,medium,M,2,4534
4097,C,Road,3,5,215,3,low,M,4,4828
2832,F,Ship,4,2,167,3,low,M,21,1637
10957,D,Flight,4,3,192,4,high,M,7,4949
664,B,Road,3,2,178,2,medium,F,22,1247
2534,F,Ship,3,4,229,3,medium,F,46,3223
5137,D,Ship,4,1,273,4,low,M,1,4857
4164,F,Ship,2,5,221,3,low,M,2,5847
2179,D,Road,3,5,161,3,medium,F,10,1978
9543,A,Ship,3,1,242,5,low,F,3,4026
4047,A,Ship,4,5,233,4,low,F,6,4652
4870,B,Ship,3,2,264,3,low,F,8,5831
1309,D,Ship,5,4,141,3,medium,M,64,1677
3235,D,Ship,5,3,169,2,low,M,8,5352
4967,C,Ship,4,1,198,3,medium,F,1,4090
5387,C,Ship,4,4,219,2,medium,M,7,4604
10040,F,Ship,5,3,229,2,medium,F,1,5294
7435,D,Ship,5,1,171,2,low,M,9,5252
8703,A,Ship,4,3,228,3,medium,F,1,5408
4028,F,Ship,4,5,249,2,medium,F,10,4562
3747,A,Ship,2,2,180,2,high,M,1,4407
3642,F,Ship,5,1,162,3,medium,M,5,4064
8465,C,Ship,4,3,241,2,medium,M,3,4636
6736,B,Ship,6,4,235,6,low,M,1,5533
2680,B,Ship,3,1,185,2,low,F,41,3787
1402,B,Ship,3,5,152,6,low,F,32,1158
1994,F,Ship,4,3,239,3,low,F,28,2741
531,A,Road,3,2,237,2,high,M,26,3103
1929,A,Flight,5,5,177,2,high,F,31,2000
5587,D,Ship,5,2,274,4,medium,F,7,4929
929,C,Ship,3,2,180,4,medium,M,55,1165
7454,F,Ship,6,5,305,4,low,F,6,1787
249,A,Road,2,2,134,3,low,F,38,1530
4447,D,Ship,6,3,219,4,medium,M,6,4885
7453,D,Ship,7,4,295,4,low,F,10,1217
10430,F,Ship,5,4,222,3,medium,M,8,5559
3193,D,Ship,4,5,273,3,medium,M,2,4374
329,C,Ship,5,1,274,2,medium,M,24,2423
9593,C,Flight,4,3,249,4,medium,M,10,5614
1219,D,Road,4,4,184,4,medium,M,8,2306
4282,B,Ship,4,2,224,3,medium,F,3,4511
6528,F,Ship,5,3,222,3,medium,F,10,4597
4863,A,Ship,4,3,223,3,low,F,10,5560
10478,F,Ship,5,1,248,5,low,M,3,1642
1612,B,Ship,3,5,153,2,low,F,44,1585
7716,F,Ship,5,5,262,5,low,M,6,1887
8623,D,Road,4,2,261,5,medium,M,5,1073
7358,F,Ship,2,4,268,4,low,M,5,4400
2249,C,Ship,5,1,189,3,medium,M,13,3492
2065,D,Flight,3,4,156,4,medium,F,7,1492
8931,A,Ship,6,3,273,5,low,M,8,1746
5573,C,Ship,3,1,225,3,medium,M,2,4284
2722,B,Road,4,4,238,3,low,F,13,2042
1177,D,Ship,6,4,269,2,high,M,47,4000
7343,C,Ship,4,4,238,3,low,F,7,4709
1570,B,Ship,5,1,129,5,medium,M,35,1458
8006,F,Ship,6,3,247,4,low,F,6,1537
2295,A,Ship,4,5,155,4,high,F,54,1408
9354,F,Ship,6,3,285,4,medium,F,1,1606
5285,C,Ship,7,4,305,4,medium,F,6,1873
6174,F,Flight,5,3,269,5,low,F,8,5833
2694,F,Ship,3,1,202,3,low,F,51,3551
3066,F,Ship,3,3,243,3,medium,F,27,2052
10795,D,Ship,5,5,224,5,low,F,7,1505
473,C,Ship,2,2,189,4,low,M,9,3413
4745,C,Ship,4,1,205,3,low,F,10,4923
4541,C,Ship,3,2,255,7,low,F,3,5936
7509,A,Road,6,4,290,4,low,M,3,1710
10924,B,Ship,5,5,221,5,low,F,3,1220
3770,F,Ship,3,1,196,3,medium,M,8,4516
1280,F,Ship,3,2,213,2,medium,F,54,2809
533,C,Road,4,3,192,3,low,F,43,3498
10043,C,Ship,4,4,200,3,low,F,7,5807
8360,F,Flight,6,3,255,4,medium,F,8,1805
2491,D,Ship,4,5,268,2,high,M,32,3675
5960,F,Ship,3,4,133,8,medium,F,10,5439
8461,D,Ship,3,5,167,2,medium,F,8,5083
6695,C,Road,5,3,261,4,medium,F,5,4623
5826,F,Ship,4,4,272,3,low,M,9,5458
7106,F,Road,6,2,278,4,high,F,8,1967
9436,B,Road,6,4,256,4,medium,F,9,1791
130,B,Road,4,5,224,4,medium,M,21,2026
10416,F,Flight,5,4,259,6,low,M,1,1206
2200,B,Flight,5,5,216,2,high,M,33,3202
8803,D,Ship,3,3,211,3,medium,M,3,5379
6464,F,Ship,3,2,131,5,low,F,8,5084
8998,B,Ship,4,2,184,3,medium,F,5,5931
9655,D,Ship,6,3,304,4,low,M,5,1215
5908,B,Flight,4,3,96,4,medium,M,1,4984
822,F,Flight,2,1,98,3,low,F,29,1806
4040,F,Ship,4,3,129,6,medium,F,5,5626
2671,D,Ship,5,2,246,2,low,F,4,3617
9064,B,Ship,6,2,225,4,low,M,6,5787
9855,A,Road,3,3,274,3,low,F,5,5981
7114,B,Road,4,5,213,3,low,F,7,4490
8577,A,Ship,4,1,224,2,low,F,6,4454
2660,F,Ship,5,5,145,3,medium,F,37,1993
3994,B,Ship,3,3,221,3,high,M,5,4568
1925,C,Flight,3,3,219,2,low,F,41,3932
1151,C,Ship,3,4,148,10,high,F,12,1779
2776,B,Ship,4,1,178,3,low,M,19,1906
10540,B,Road,4,1,171,3,medium,M,10,5971
3586,B,Ship,4,5,214,2,low,M,3,5546
1516,B,Flight,4,4,261,3,low,F,33,3678
2950,B,Ship,3,5,207,4,low,F,45,3770
2551,D,Ship,3,1,178,3,low,F,11,1481
3690,F,Road,4,3,266,3,low,M,9,5621
7850,F,Ship,6,3,170,4,low,M,1,4912
10079,C,Ship,4,5,258,3,low,F,3,5422
5776,B,Ship,5,2,264,6,medium,M,10,1659
5050,B,Road,4,1,259,3,medium,M,5,4435
326,F,Ship,3,4,246,3,medium,M,30,3748
7899,A,Ship,3,4,273,2,medium,M,2,4219
9709,D,Road,7,5,244,4,low,M,2,1330
4874,F,Ship,4,4,225,2,medium,M,10,4829
3385,D,Ship,2,5,209,5,medium,F,9,5565
10714,B,Ship,5,5,221,5,low,F,8,1123
230,F,Ship,3,3,162,7,medium,F,42,1278
7249,D,Road,5,4,173,3,low,M,9,5432
6231,A,Ship,6,5,282,4,medium,F,4,1013
1506,F,Flight,4,2,229,4,low,F,32,3518
10791,A,Ship,4,4,224,5,medium,F,5,1184
10483,D,Ship,5,2,265,5,medium,F,5,1864
10786,B,Ship,5,1,248,5,medium,F,5,1861
6281,C,Road,6,3,298,4,low,F,1,1657
4891,D,Ship,3,4,232,3,low,F,6,4050
1175,C,Ship,4,3,260,2,low,M,38,2526
7241,C,Road,4,5,148,3,high,F,6,5473
9998,F,Flight,5,5,180,2,high,M,5,4585
1323,A,Ship,2,3,141,2,medium,F,28,1624
2559,A,Ship,4,3,162,10,high,M,25,1764
634,B,Ship,2,3,164,2,low,M,56,1491
8716,B,Ship,2,1,198,2,low,M,8,4323
5603,C,Road,4,2,233,3,low,F,3,5740
8322,F,Ship,6,4,253,4,medium,M,10,1248
2902,B,Ship,4,1,216,4,low,M,4,2263
3792,F,Ship,3,3,268,10,medium,M,2,5626
2034,F,Road,3,2,264,4,high,F,32,2754
2798,F,Ship,3,1,225,2,high,F,43,2585
910,B,Ship,4,5,186,10,low,F,42,3521
698,F,Flight,3,5,151,2,low,F,16,1422
2042,F,Road,4,4,162,2,medium,M,30,1158
6903,A,Ship,5,2,254,5,high,M,6,1491
8705,C,Ship,3,5,206,3,medium,F,9,5751
2922,F,Ship,3,1,257,2,medium,M,37,3517
10696,B,Flight,3,5,222,3,low,F,10,5185
7474,B,Ship,5,4,242,5,medium,M,1,1824
9368,F,Ship,4,2,252,4,low,M,1,4705
5282,F,Ship,5,2,136,2,low,M,3,1370
3045,A,Ship,4,4,243,3,low,M,10,3327
4191,A,Ship,4,5,175,2,medium,M,4,4910
10215,A,Ship,4,2,270,5,low,F,10,1340
2631,A,Ship,3,5,185,2,medium,M,27,3624
2227,D,Ship,4,3,180,4,low,M,14,1686
8907,A,Flight,4,5,295,3,low,F,2,1693
9406,B,Ship,6,2,309,4,medium,F,8,1930
3224,F,Ship,5,4,269,3,low,F,3,4489
1390,B,Ship,5,3,167,3,low,F,51,1573
6511,D,Ship,6,2,246,4,medium,M,7,1071
9488,F,Ship,4,2,216,3,low,M,2,4750
2483,C,Flight,3,5,208,4,medium,M,12,3181
6047,C,Ship,5,2,275,5,low,M,9,1373
6850,B,Flight,3,1,158,7,medium,F,6,4166
1061,C,Ship,5,3,252,4,medium,M,63,3729
4388,F,Flight,5,2,165,3,medium,F,10,5598
4999,D,Ship,3,3,239,6,low,M,7,4501
2512,B,Ship,3,1,176,2,medium,F,45,1470
3170,F,Ship,6,3,161,4,medium,M,8,1247
5016,F,Ship,2,3,151,4,low,F,3,1353
520,B,Ship,3,1,215,3,medium,F,2,3873
5338,B,Road,4,4,204,3,medium,M,8,5614
7975,D,Ship,4,5,137,3,medium,M,1,4861
54,F,Ship,2,1,170,3,low,M,41,1128
4584,F,Ship,2,2,170,3,high,F,7,4284
10341,A,Ship,6,5,287,5,low,M,2,5611
8221,D,Flight,4,4,268,3,medium,M,10,4531
5738,F,Road,5,1,248,2,low,F,6,5281
7237,D,Road,4,5,240,3,low,F,5,5734
6071,C,Ship,5,5,175,6,low,F,2,4883
9283,D,Ship,2,3,192,3,low,M,4,5524
8087,C,Flight,4,4,174,3,low,M,8,4348
8121,A,Ship,3,4,151,3,medium,M,5,4767
2283,A,Ship,4,1,184,3,high,F,47,3081
4432,B,Ship,4,2,257,3,medium,M,8,5045
1333,D,Ship,4,5,269,4,medium,M,60,3456
8038,B,Ship,4,2,250,5,medium,M,10,1026
221,C,Ship,3,4,242,3,low,M,29,2381
2934,F,Ship,6,3,273,4,medium,F,32,2532
3058,B,Ship,5,5,257,4,medium,M,31,2040
7796,F,Road,3,1,160,2,low,F,10,5642
4499,C,Road,3,4,269,2,medium,M,6,5951
3179,C,Ship,4,3,237,6,low,M,8,5588
9992,F,Road,3,1,256,3,low,F,5,5643
6156,F,Road,4,5,159,2,low,F,3,5704
7887,A,Ship,5,1,169,4,low,M,6,4253
4335,A,Ship,5,2,152,3,low,F,2,4172
7854,F,Ship,5,5,243,3,medium,M,3,5700
5155,D,Ship,2,4,193,4,low,M,7,5552
7949,C,Flight,4,3,150,3,high,F,2,4383
8728,B,Ship,2,3,211,2,medium,M,2,4611
3995,C,Ship,3,3,253,4,low,F,9,4682
7842,F,Ship,2,2,201,3,high,M,2,4865
1195,D,Ship,4,1,127,8,low,F,12,1519
2142,F,Ship,3,3,261,3,medium,M,14,3479
1119,A,Ship,3,2,171,3,medium,M,11,1282
4020,F,Ship,3,5,226,3,low,M,8,5203
9315,A,Flight,3,1,230,2,low,F,4,4387
1075,D,Road,4,5,268,3,medium,F,3,2758
4501,D,Road,2,5,170,5,low,F,10,5621
213,A,Ship,2,5,127,3,low,M,44,1341
1412,F,Ship,3,2,240,6,low,F,26,2683
9100,B,Ship,6,5,282,4,low,M,5,1364
7831,D,Ship,4,5,149,2,low,M,2,5724
4772,F,Road,5,4,251,2,low,F,3,5347
461,C,Ship,4,1,202,3,medium,F,18,3940
7857,A,Ship,4,5,217,3,medium,M,2,5461
5481,A,Flight,3,1,222,3,medium,F,8,4650
6897,A,Ship,6,2,291,4,low,M,9,1241
4561,D,Ship,6,1,280,4,medium,M,5,1431
4182,F,Ship,4,5,169,2,low,F,10,4248
240,F,Ship,2,3,158,3,low,M,10,1515
2478,F,Flight,5,2,209,4,medium,M,15,3330
2223,A,Ship,3,4,234,3,medium,F,37,2111
10891,D,Ship,4,3,188,4,medium,M,7,4024
2608,B,Flight,3,2,218,3,medium,F,52,2149
5947,D,Ship,4,3,170,6,medium,M,6,4998
6627,A,Ship,3,3,209,2,medium,M,1,5098
3931,D,Ship,4,5,117,5,medium,F,1,4378
3387,A,Ship,3,1,206,3,high,F,8,4763
9477,A,Ship,3,3,133,3,low,F,2,4926
9582,F,Road,4,4,280,3,medium,M,5,5624
2197,D,Flight,4,2,214,2,low,M,49,3416
3163,D,Flight,3,1,213,10,medium,M,9,4862
7019,C,Ship,6,1,206,6,medium,F,8,4243
5581,D,Ship,3,1,221,4,medium,F,8,5971
5443,D,Ship,3,4,222,3,medium,M,3,4068
10941,A,Road,4,1,192,4,low,M,3,1689
7655,C,Road,3,4,199,3,medium,M,1,4490
6276,F,Road,7,5,133,5,low,F,3,1544
6304,B,Flight,6,5,301,4,low,F,3,1958
6078,F,Ship,3,2,132,4,medium,F,3,4512
3907,D,Ship,4,4,272,5,low,F,3,5243
1702,B,Ship,3,1,138,3,low,F,41,1914
3949,D,Road,4,1,258,3,medium,M,2,4188
3872,F,Ship,4,2,265,4,medium,M,3,4283
6586,B,Flight,7,2,275,4,medium,F,6,1513
3063,A,Ship,6,4,217,5,low,F,7,3725
5353,D,Flight,5,4,235,2,medium,M,9,5549
7050,F,Ship,3,4,261,2,low,F,1,5844
8442,F,Ship,3,1,132,2,medium,M,2,4129
7861,D,Ship,4,2,139,3,medium,M,10,4648
7983,A,Ship,4,4,153,4,low,M,5,5162
1057,D,Ship,3,4,272,4,low,F,23,2048
5236,B,Ship,5,2,249,3,high,F,8,5000
6168,F,Flight,4,3,181,3,low,F,5,5398
10326,F,Ship,3,2,188,5,medium,M,7,5673
6178,B,Flight,2,1,220,2,medium,F,6,4382
7594,B,Ship,5,3,150,4,medium,F,1,5211
6453,A,Flight,4,4,237,3,medium,M,4,4747
2916,F,Ship,3,4,242,3,high,M,54,3011
9341,C,Ship,3,2,177,3,low,F,5,5941
697,D,Flight,5,1,149,4,medium,F,20,1110
3345,A,Ship,3,4,133,2,low,F,7,4663
4161,A,Ship,4,2,255,3,medium,M,3,4562
3578,F,Flight,4,1,102,3,medium,M,3,4179
2480,F,Flight,3,1,257,2,low,F,45,3496
3292,B,Flight,5,1,270,2,high,M,10,5360
5409,A,Ship,3,1,267,3,low,M,5,5528
3354,F,Ship,4,5,190,3,low,M,2,4554
6629,C,Ship,3,4,172,2,low,M,5,5919
643,D,Ship,4,1,240,2,low,M,14,2437
10113,A,Road,3,3,137,3,high,M,7,5794
1157,C,Ship,4,5,262,3,medium,F,38,3139
6859,D,Flight,3,1,237,3,medium,F,1,4476
2464,B,Flight,5,5,216,6,low,M,54,2075
6559,D,Road,5,5,222,5,low,F,4,1311
3298,B,Flight,3,3,205,2,medium,M,6,4989
8515,D,Ship,3,2,177,2,high,F,7,4764
9908,F,Ship,3,1,243,3,medium,M,6,5371
7588,B,Ship,4,1,201,6,medium,F,8,5529
7915,D,Ship,3,2,163,2,low,F,5,5021
10619,C,Ship,6,3,153,6,medium,F,7,4975
4279,D,Ship,6,2,271,10,medium,F,2,4145
3102,F,Ship,3,2,225,3,low,F,59,3488
4325,C,Ship,4,1,277,5,medium,M,3,1527
3158,F,Flight,4,2,246,3,low,F,7,5616
2474,F,Flight,5,1,241,4,medium,F,19,2193
9668,F,Ship,4,5,251,5,medium,F,6,1434
1830,F,Ship,3,2,257,2,high,F,46,2848
9422,F,Ship,5,2,172,2,low,M,9,1097
299,C,Ship,4,2,147,4,medium,M,52,1129
10508,F,Ship,3,1,187,2,low,M,6,5448
2769,A,Ship,4,2,171,3,low,M,34,1352
2756,F,Flight,4,4,173,3,medium,F,64,1847
9741,A,Flight,4,3,170,2,low,M,2,5607
2264,F,Ship,3,5,225,3,low,F,1,2864
6063,A,Ship,3,4,164,3,low,F,4,4796
4122,F,Flight,5,3,255,3,medium,F,8,5983
8981,C,Ship,4,3,249,3,low,M,4,4811
4905,A,Ship,3,1,165,2,low,M,6,4445
10486,B,Ship,4,2,259,6,medium,M,8,1096
3926,F,Ship,6,1,251,4,low,M,2,5656
8779,D,Flight,5,3,280,6,high,M,5,4585
10227,A,Ship,6,1,265,4,low,F,1,1345
4216,B,Ship,3,1,258,3,medium,F,2,5828
1298,F,Ship,4,4,158,2,medium,M,15,1030
5015,C,Ship,6,2,254,4,low,M,4,1392
4717,D,Ship,3,5,260,2,medium,M,1,5970
984,F,Ship,5,4,133,3,low,M,9,1051
8137,D,Ship,4,3,177,3,low,M,1,5282
923,C,Ship,4,1,208,7,high,M,8,2193
6421,D,Road,4,5,181,3,medium,M,1,5310
658,B,Ship,3,1,242,3,medium,F,10,3606
7499,C,Ship,5,5,249,5,medium,M,5,1662
9504,F,Ship,5,2,254,2,medium,M,4,4180
4658,F,Flight,4,1,273,2,high,F,10,5832
9042,F,Flight,3,4,181,3,low,M,10,5276
621,A,Ship,2,5,265,2,low,F,50,3859
559,D,Flight,4,2,164,3,medium,M,15,1489
8638,B,Flight,5,1,266,5,medium,F,2,1798
1091,C,Road,4,2,221,2,medium,M,54,3065
4389,A,Flight,5,4,175,4,low,M,4,4505
9900,F,Ship,3,1,109,6,low,F,6,5457
6487,D,Ship,4,2,206,7,high,M,3,4991
7210,B,Ship,6,3,265,5,medium,M,10,1897
4955,C,Ship,4,4,211,3,medium,M,5,4812
9935,C,Ship,4,4,274,6,low,M,10,1355
1834,B,Ship,3,5,245,4,high,F,26,2072
4434,F,Ship,4,5,163,3,high,M,4,5863
10361,C,Ship,4,3,189,3,medium,F,9,4825
9942,F,Ship,5,3,263,5,medium,F,6,1192
1739,C,Ship,4,5,208,2,medium,M,33,2170
4354,B,Ship,3,2,208,2,low,F,7,4582
8226,F,Flight,5,1,262,3,medium,M,9,5146
8629,D,Flight,5,5,225,5,low,M,7,1168
5622,F,Flight,3,3,168,4,low,F,2,4541
459,A,Ship,3,2,179,5,low,F,52,1991
6635,C,Ship,4,4,203,2,low,F,4,4793
2881,D,Flight,3,2,165,3,medium,M,47,1639
4569,A,Ship,3,3,213,3,medium,M,7,4133
1816,B,Ship,3,3,191,3,low,M,5,2007
5550,F,Ship,3,4,168,2,medium,M,9,5235
927,A,Ship,3,1,210,2,low,F,52,2444
7982,F,Ship,4,4,218,2,medium,M,3,5039
6072,F,Ship,3,4,257,5,medium,F,5,5365
4009,D,Ship,5,4,120,4,high,M,1,4183
9363,A,Ship,6,1,264,4,low,M,9,1243
4693,D,Ship,5,3,217,4,low,M,3,5718
449,C,Ship,3,1,183,3,low,M,19,3018
8422,B,Ship,4,3,187,4,low,M,9,5699
10059,A,Ship,4,1,256,4,medium,F,3,5324
1647,A,Flight,5,4,111,5,medium,F,42,1587
6478,B,Ship,3,3,261,8,medium,M,3,4007
3491,C,Ship,3,1,256,4,medium,F,3,4398
10290,F,Flight,5,5,156,2,low,F,8,4817
2968,B,Ship,6,2,236,4,low,F,61,3140
6195,A,Ship,5,2,173,4,high,F,9,4307
7342,B,Ship,3,1,155,3,medium,F,2,5446
9187,D,Flight,6,3,297,5,low,F,5,1657
6295,D,Road,7,5,250,4,low,F,2,1296
2298,F,Ship,5,4,281,4,medium,M,56,3709
1951,D,Ship,4,3,148,2,low,M,29,1809
3541,D,Road,4,5,154,4,medium,M,7,4938
6503,C,Ship,5,1,249,5,medium,M,10,1561
2467,D,Flight,6,1,126,3,medium,F,37,1697
