id,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
31, A5,2013,Manual,68187,Diesel,125,57.6,2.0
32, A6,2016,Semi-Auto,58836,Diesel,30,61.4,2.0
33, A4,2019,Automatic,8000,Diesel,145,40.4,3.0
34, A1,2016,Manual,7433,Petrol,200,40.4,2.0
35, A3,2017,Manual,17001,Petrol,145,55.4,1.5
36, A4,2014,Manual,45763,Diesel,30,62.8,2.0
37, Q7,2018,Automatic,13213,Diesel,145,37.2,4.0
38, A5,2012,Automatic,70000,Diesel,125,58.9,2.0
39, Q2,2019,Manual,5000,Diesel,145,49.6,1.6
40, A5,2017,Semi-Auto,27792,Diesel,145,65.7,2.0
41, Q3,2013,Automatic,43376,Diesel,200,47.9,2.0
42, A3,2016,Manual,23663,Diesel,125,57.6,2.0
43, Q5,2019,Automatic,2808,Diesel,145,38.2,2.0
44, A5,2019,Semi-Auto,4750,Diesel,145,47.1,2.0
45, A3,2020,Semi-Auto,7500,Hybrid,135,141.3,1.4
46, A5,2016,Semi-Auto,31901,Petrol,30,53.3,2.0
47, Q5,2016,Manual,24490,Diesel,200,47.9,2.0
48, A4,2019,Manual,11000,Petrol,150,39.2,2.0
49, Q2,2018,Automatic,14882,Petrol,145,52.3,1.4
50, Q2,2019,Manual,5433,Diesel,145,47.9,1.6
51, Q7,2019,Automatic,6000,Diesel,145,33.2,3.0
52, A1,2016,Manual,26436,Petrol,200,40.4,2.0
53, A6,2019,Automatic,11500,Diesel,145,50.4,2.0
54, Q3,2016,Automatic,49841,Diesel,160,50.4,2.0
55, Q3,2020,Manual,1014,Petrol,145,40.9,1.5
56, A3,2016,Automatic,41135,Petrol,30,58.9,1.4
57, Q7,2019,Automatic,13602,Diesel,150,32.8,3.0
58, Q2,2019,Manual,9388,Diesel,145,49.6,1.6
59, A5,2015,Manual,33430,Diesel,30,60.1,2.0
60, A4,2019,Automatic,7188,Petrol,145,38.2,2.0
61, A3,2015,Manual,68446,Diesel,0,74.3,1.6
62, A3,2019,Manual,5669,Petrol,145,42.2,1.5
63, A5,2019,Automatic,86,Diesel,145,48.7,2.0
64, Q7,2018,Semi-Auto,11800,Diesel,145,39.2,4.0
65, A4,2018,Semi-Auto,18373,Petrol,150,49.6,1.4
66, A6,2016,Semi-Auto,29738,Diesel,30,61.4,2.0
67, A1,2017,Manual,10909,Petrol,0,67.3,1.0
68, Q3,2017,Manual,35964,Petrol,145,49.6,1.4
69, Q2,2019,Manual,2877,Diesel,145,49.6,1.6
70, Q2,2019,Semi-Auto,14291,Petrol,150,39.8,1.5
71, A4,2019,Semi-Auto,9000,Petrol,145,38.7,2.0
72, A1,2018,Manual,7326,Petrol,150,47.9,1.0
73, Q2,2019,Automatic,4000,Petrol,145,33.2,2.0
74, A3,2015,Semi-Auto,28294,Hybrid,0,188.3,1.4
75, A1,2019,Semi-Auto,11750,Petrol,150,40.9,2.0
76, A6,2019,Automatic,4000,Diesel,145,39.2,3.0
77, A5,2019,Automatic,10000,Petrol,145,39.2,2.0
78, Q3,2017,Semi-Auto,46066,Petrol,145,40.4,2.0
79, A1,2017,Semi-Auto,28402,Diesel,20,70.6,1.6
80, Q5,2016,Semi-Auto,39818,Diesel,200,47.1,2.0
81, A4,2014,Manual,51529,Diesel,30,62.8,2.0
82, A3,2018,Manual,13147,Diesel,145,67.3,1.6
83, A1,2017,Manual,23052,Diesel,150,76.3,1.6
84, A4,2019,Automatic,16500,Diesel,145,49.6,2.0
85, A5,2017,Semi-Auto,66483,Petrol,145,38.2,3.0
86, Q5,2019,Semi-Auto,2812,Diesel,145,38.2,2.0
87, A4,2017,Manual,18574,Petrol,145,51.4,1.4
88, A1,2017,Manual,16438,Petrol,150,57.6,1.4
89, Q2,2017,Manual,42755,Diesel,30,64.2,1.6
90, A8,2018,Semi-Auto,11000,Diesel,145,48.7,3.0
91, A6,2017,Automatic,24963,Diesel,145,61.4,2.0
92, Q3,2016,Manual,37670,Petrol,145,49.6,1.4
93, R8,2019,Semi-Auto,10,Petrol,150,21.4,5.2
94, A4,2017,Manual,24285,Petrol,145,52.3,1.4
95, A3,2019,Manual,5423,Diesel,145,55.4,2.0
96, A1,2016,Semi-Auto,36668,Petrol,30,56.5,1.4
97, Q2,2019,Semi-Auto,7901,Petrol,150,40.9,1.5
98, A4,2017,Semi-Auto,34250,Diesel,125,60.1,3.0
99, A3,2016,Manual,25000,Diesel,20,65.7,2.0
100, A1,2015,Manual,29119,Petrol,30,56.5,1.4
101, A1,2018,Manual,6605,Petrol,145,55.4,1.4
102, A8,2019,Automatic,3000,Diesel,145,40.4,3.0
103, A3,2019,Automatic,10995,Petrol,145,42.2,1.5
104, A3,2014,Manual,38555,Petrol,20,60.1,1.4
105, A5,2019,Automatic,112,Petrol,145,39.8,2.0
106, Q2,2019,Automatic,15190,Diesel,145,46.3,1.6
107, Q5,2020,Automatic,4394,Diesel,145,34.5,3.0
108, A6,2016,Semi-Auto,78545,Diesel,20,67.3,2.0
109, A5,2017,Semi-Auto,11757,Petrol,145,53.3,2.0
110, TT,2016,Manual,33538,Diesel,30,61.4,2.0
111, Q7,2017,Semi-Auto,22100,Diesel,150,47.9,3.0
112, A3,2017,Manual,18713,Petrol,145,60.1,1.0
113, A3,2005,Manual,106790,Petrol,240,35.3,1.6
114, Q2,2018,Manual,10855,Petrol,145,55.4,1.0
115, Q2,2017,Manual,51663,Petrol,125,50.4,1.4
116, A3,2019,Semi-Auto,6018,Petrol,145,40.9,2.0
117, A1,2017,Manual,19268,Petrol,150,67.3,1.0
118, Q7,2019,Automatic,6000,Diesel,145,33.2,3.0
119, RS4,2020,Semi-Auto,3000,Petrol,145,29.1,2.9
120, A6,2016,Manual,40826,Diesel,30,61.4,2.0
121, Q7,2017,Automatic,28949,Diesel,145,39.2,4.0
122, A3,2017,Manual,44151,Diesel,20,65.7,2.0
123, R8,2019,Automatic,100,Petrol,145,24.1,5.2
124, A1,2013,Manual,67409,Diesel,0,74.3,1.6
125, A5,2019,Automatic,5347,Diesel,145,45.6,2.0
126, A4,2017,Automatic,35452,Diesel,145,70.6,2.0
127, A5,2016,Manual,13500,Diesel,145,53.3,2.0
128, A4,2017,Manual,14912,Petrol,145,52.3,1.4
129, A1,2017,Manual,15735,Petrol,150,55.4,1.4
130, A3,2019,Manual,4500,Diesel,145,52.3,1.6
131, Q5,2019,Automatic,1297,Diesel,145,38.2,2.0
132, Q3,2019,Semi-Auto,3362,Petrol,145,30.7,2.0
133, Q3,2016,Manual,27692,Petrol,145,49.6,1.4
134, Q2,2019,Manual,824,Petrol,145,40.9,1.5
135, A3,2019,Manual,7154,Diesel,145,52.3,1.6
136, A3,2019,Semi-Auto,355,Petrol,150,34.9,2.0
137, RS6,2017,Semi-Auto,34926,Petrol,325,29.4,4.0
138, Q3,2019,Semi-Auto,1844,Petrol,145,31.7,2.0
139, A3,2018,Manual,15215,Petrol,150,55.4,1.5
140, A3,2019,Semi-Auto,12472,Petrol,150,42.2,1.5
141, A4,2012,Manual,94366,Diesel,30,64.2,2.0
142, Q2,2019,Automatic,1000,Diesel,145,46.3,2.0
143, Q3,2016,Manual,41910,Diesel,145,52.3,2.0
144, Q2,2016,Manual,35624,Diesel,30,64.2,1.6
145, Q7,2014,Automatic,30500,Diesel,280,38.2,3.0
146, A6,2017,Semi-Auto,31605,Diesel,145,57.6,2.0
147, A4,2017,Manual,28892,Diesel,140,70.6,2.0
148, A3,2019,Manual,514,Diesel,150,51.4,1.6
149, A1,2020,Manual,4062,Petrol,145,47.9,1.0
150, A1,2014,Manual,35700,Petrol,125,52.3,1.4
151, A6,2014,Semi-Auto,82500,Diesel,145,54.3,3.0
152, A3,2019,Manual,4321,Petrol,145,44.1,1.5
153, A6,2014,Semi-Auto,84000,Diesel,205,44.8,3.0
154, A4,2019,Automatic,5212,Diesel,145,49.6,2.0
155, A1,2015,Manual,37634,Petrol,0,67.3,1.0
156, Q5,2019,Semi-Auto,5200,Diesel,145,39.2,2.0
157, Q2,2019,Manual,2728,Petrol,150,43.5,1.5
158, Q3,2017,Semi-Auto,18804,Petrol,145,47.9,1.4
159, A3,2019,Manual,7644,Diesel,145,49.6,1.6
160, A3,2017,Semi-Auto,36633,Petrol,20,62.8,1.0
161, A7,2015,Semi-Auto,72283,Diesel,145,54.3,3.0
162, A1,2016,Manual,53440,Diesel,0,80.7,1.6
163, A5,2019,Semi-Auto,2000,Diesel,145,46.3,2.0
164, A4,2019,Automatic,8501,Diesel,150,49.6,2.0
165, A1,2020,Manual,556,Petrol,145,47.9,1.0
166, A5,2019,Automatic,8933,Diesel,145,51.4,2.0
167, A5,2014,Manual,82000,Diesel,20,64.2,2.0
168, Q2,2020,Semi-Auto,5900,Petrol,150,32.5,2.0
169, Q5,2019,Automatic,12354,Diesel,145,38.2,2.0
170, A4,2016,Manual,51877,Diesel,20,72.4,2.0
171, Q3,2015,Manual,16375,Diesel,125,60.1,2.0
172, A1,2019,Semi-Auto,2536,Petrol,145,40.9,2.0
173, RS6,2017,Semi-Auto,13051,Petrol,150,29.4,4.0
174, Q5,2014,Manual,36970,Diesel,200,47.9,2.0
175, Q2,2019,Automatic,1000,Petrol,145,33.2,2.0
176, Q3,2016,Manual,21331,Diesel,145,52.3,2.0
177, A1,2016,Manual,22600,Petrol,30,55.4,1.4
178, A3,2017,Semi-Auto,22100,Petrol,145,56.5,1.5
179, Q3,2019,Manual,529,Diesel,145,40.9,2.0
180, A1,2012,Manual,65627,Diesel,0,74.3,1.6
181, Q2,2017,Manual,24000,Petrol,145,50.4,1.4
182, Q3,2020,Semi-Auto,859,Diesel,150,48.7,2.0
183, Q2,2017,Manual,50050,Petrol,125,52.3,1.4
184, A3,2016,Manual,55905,Diesel,0,83.1,1.6
185, A1,2015,Manual,20042,Petrol,30,57.6,1.4
186, A4,2018,Manual,14017,Petrol,150,51.4,1.4
187, Q2,2019,Manual,1000,Diesel,145,49.6,1.6
188, A6,2019,Automatic,5000,Diesel,145,50.4,2.0
189, Q5,2016,Automatic,30201,Diesel,200,47.1,2.0
190, A3,2019,Semi-Auto,6159,Diesel,145,52.3,1.6
191, Q5,2019,Automatic,3552,Petrol,145,33.2,2.0
192, Q3,2015,Semi-Auto,30000,Diesel,160,51.4,2.0
193, Q2,2019,Semi-Auto,5662,Diesel,145,47.9,1.6
194, A4,2020,Semi-Auto,1000,Petrol,145,40.9,2.0
195, A7,2019,Semi-Auto,7968,Diesel,145,38.7,3.0
196, A3,2008,Manual,123000,Diesel,160,51.3,2.0
197, A3,2018,Automatic,16478,Petrol,145,56.5,1.5
198, A6,2017,Manual,21178,Diesel,150,61.4,2.0
199, Q2,2019,Automatic,2901,Petrol,145,33.2,2.0
200, A5,2016,Automatic,36399,Diesel,125,60.1,3.0
201, A5,2014,Automatic,50000,Diesel,165,49.6,3.0
202, A4,2016,Manual,31182,Petrol,125,53.3,1.4
203, Q3,2013,Manual,108220,Diesel,150,54.3,2.0
204, Q2,2017,Manual,11340,Petrol,145,50.4,1.4
205, A4,2015,Manual,39608,Diesel,30,61.4,2.0
206, A4,2018,Semi-Auto,16150,Diesel,145,61.4,2.0
207, A1,2017,Manual,34824,Petrol,0,67.3,1.0
208, Q5,2015,Manual,42940,Diesel,200,47.9,2.0
209, Q2,2017,Manual,33636,Diesel,30,61.4,1.6
210, Q2,2018,Semi-Auto,35100,Petrol,145,54.3,1.4
211, A4,2016,Manual,28000,Diesel,20,72.4,2.0
212, Q5,2019,Semi-Auto,21,Petrol,145,32.1,2.0
213, A3,2012,Manual,41000,Diesel,30,64.2,2.0
214, Q2,2017,Manual,16000,Petrol,145,50.4,1.4
215, TT,2017,Manual,30562,Diesel,145,62.8,2.0
216, Q3,2017,Manual,19331,Diesel,125,57.7,2.0
217, Q5,2019,Automatic,2000,Petrol,145,32.1,2.0
218, A1,2018,Manual,10749,Petrol,145,55.4,1.4
219, Q3,2019,Manual,1786,Diesel,150,42.8,2.0
220, A8,2017,Automatic,4510,Diesel,145,50.4,3.0
221, A6,2016,Manual,107150,Diesel,30,61.4,2.0
222, Q3,2017,Automatic,42908,Diesel,145,51.4,2.0
223, A3,2017,Semi-Auto,13344,Petrol,145,56.5,1.5
224, Q3,2015,Manual,120860,Diesel,125,60.1,2.0
225, A5,2020,Semi-Auto,2998,Diesel,145,47.1,2.0
226, A3,2016,Manual,25556,Petrol,20,60.1,1.4
227, A4,2017,Semi-Auto,66598,Diesel,30,65.7,2.0
228, A3,2015,Manual,73643,Petrol,30,56.5,1.2
229, Q2,2019,Semi-Auto,3972,Petrol,145,40.9,1.5
230, A3,2019,Manual,10065,Petrol,145,47.1,1.0
231, A6,2017,Semi-Auto,44000,Diesel,145,61.4,2.0
232, Q3,2017,Manual,21849,Petrol,145,49.6,1.4
233, A4,2019,Semi-Auto,26,Diesel,145,47.9,2.0
234, A4,2018,Semi-Auto,11986,Petrol,145,36.7,3.0
235, Q2,2019,Semi-Auto,1838,Diesel,145,46.3,1.6
236, A5,2017,Automatic,43708,Diesel,150,62.8,2.0
237, A6,2017,Semi-Auto,16442,Diesel,150,56.5,2.0
238, A5,2014,Manual,78812,Diesel,30,61.4,2.0
239, Q5,2015,Automatic,59650,Diesel,200,47.1,2.0
240, A1,2015,Manual,23758,Diesel,0,80.7,1.6
241, Q3,2019,Manual,5000,Petrol,145,40.9,1.5
242, Q3,2019,Manual,2054,Diesel,145,42.8,2.0
243, Q2,2018,Manual,17200,Petrol,145,52.3,1.4
244, A4,2016,Manual,41443,Diesel,30,67.3,2.0
245, Q5,2011,Manual,168017,Diesel,200,42.1,2.0
246, Q5,2014,Semi-Auto,35025,Diesel,260,41.5,3.0
247, Q2,2017,Automatic,31952,Diesel,145,57.7,2.0
248, A3,2017,Manual,45826,Petrol,20,60.1,1.0
249, A4,2017,Semi-Auto,13611,Petrol,145,50.4,1.4
250, A3,2015,Manual,40321,Diesel,20,68.9,2.0
251, Q3,2018,Manual,19311,Petrol,150,51.4,1.4
252, Q7,2017,Semi-Auto,32568,Diesel,145,39.2,4.0
253, Q7,2019,Automatic,6000,Diesel,145,33.2,3.0
254, Q2,2019,Automatic,10,Petrol,145,33.2,2.0
255, A1,2016,Semi-Auto,19687,Petrol,30,70.6,1.4
256, A5,2019,Automatic,5000,Diesel,145,51.4,2.0
257, A3,2017,Semi-Auto,3059,Petrol,145,43.5,2.0
258, A3,2015,Manual,54623,Diesel,20,67.3,2.0
259, A3,2019,Automatic,14738,Petrol,150,42.2,1.5
260, Q2,2017,Manual,24755,Petrol,145,52.3,1.4
261, A3,2019,Manual,4628,Diesel,145,51.4,1.6
262, Q7,2019,Automatic,3139,Diesel,145,33.2,3.0
263, A6,2013,Manual,49000,Diesel,325,29.7,2.0
264, A5,2019,Automatic,6621,Diesel,145,47.1,2.0
265, A4,2017,Automatic,28958,Petrol,150,37.7,3.0
266, TT,2019,Automatic,6000,Petrol,145,40.9,2.0
267, S4,2019,Automatic,4900,Diesel,145,40.4,0.0
268, A4,2014,Manual,80120,Diesel,30,62.8,2.0
269, A4,2019,Manual,125,Petrol,145,39.2,2.0
270, Q3,2017,Semi-Auto,30821,Petrol,200,42.8,2.0
271, A1,2015,Manual,36796,Petrol,0,67.3,1.0
272, Q3,2019,Manual,5000,Petrol,145,40.9,1.5
273, A6,2018,Semi-Auto,31945,Diesel,145,54.3,2.0
274, A7,2014,Automatic,42709,Diesel,200,47.9,3.0
275, A4,2020,Semi-Auto,8500,Diesel,145,40.4,3.0
276, A5,2019,Automatic,12062,Petrol,145,39.8,2.0
277, A3,2016,Automatic,10897,Petrol,20,60.1,1.4
278, RS6,2016,Automatic,27000,Petrol,325,29.4,4.0
279, A1,2019,Semi-Auto,10,Petrol,145,44.8,1.5
280, A3,2019,Automatic,4800,Diesel,145,52.3,1.6
281, A3,2019,Manual,4963,Petrol,145,42.8,1.5
282, A1,2019,Semi-Auto,6934,Petrol,145,47.9,1.0
283, Q3,2017,Manual,32895,Petrol,125,51.4,1.4
284, Q3,2019,Automatic,14061,Petrol,145,31.7,2.0
285, A3,2016,Manual,14115,Petrol,30,58.9,1.4
286, A3,2018,Manual,10045,Petrol,145,42.2,1.5
287, A3,2017,Automatic,26156,Petrol,145,58.9,1.4
288, A6,2020,Automatic,3455,Diesel,145,50.4,2.0
289, A3,2016,Manual,30154,Diesel,20,65.7,2.0
290, TT,2020,Semi-Auto,2000,Petrol,145,30.1,2.5
291, Q3,2019,Manual,4158,Petrol,145,40.9,1.5
292, A5,2018,Semi-Auto,14078,Petrol,145,45.6,2.0
293, TT,2015,Manual,17416,Diesel,20,67.3,2.0
294, Q3,2016,Semi-Auto,17114,Petrol,200,40.4,2.0
295, A4,2014,Manual,80909,Diesel,125,58.9,2.0
296, A1,2016,Manual,56637,Diesel,0,76.3,1.6
297, Q5,2017,Semi-Auto,42643,Diesel,235,42.2,3.0
298, A5,2019,Automatic,3860,Diesel,145,50.4,2.0
299, A6,2019,Automatic,238,Diesel,145,47.9,2.0
300, A1,2020,Automatic,3222,Petrol,145,44.1,1.5
301, A5,2019,Semi-Auto,11000,Diesel,145,50.4,2.0
302, A6,2017,Automatic,47506,Diesel,30,61.4,2.0
303, A8,2019,Automatic,6269,Diesel,145,38.7,3.0
304, Q3,2020,Automatic,1500,Petrol,145,30.7,0.0
305, A5,2018,Automatic,12907,Petrol,145,45.6,2.0
306, A3,2016,Semi-Auto,21102,Petrol,30,58.9,1.4
307, A1,2016,Manual,16133,Petrol,0,67.3,1.0
308, Q3,2015,Manual,29850,Diesel,30,61.4,2.0
309, A5,2019,Automatic,5630,Diesel,145,50.4,2.0
310, A3,2014,Manual,49000,Diesel,20,68.9,2.0
311, A6,2018,Automatic,27304,Diesel,145,64.2,2.0
312, A6,2019,Semi-Auto,4196,Diesel,145,47.9,2.0
313, A3,2017,Manual,54181,Diesel,145,67.3,1.6
314, A3,2017,Manual,23820,Petrol,145,60.1,1.0
315, A3,2018,Semi-Auto,32265,Diesel,150,62.8,2.0
316, Q5,2016,Semi-Auto,33657,Diesel,200,47.1,2.0
317, A4,2016,Manual,65000,Diesel,20,72.4,2.0
318, A3,2018,Automatic,28803,Petrol,145,43.5,2.0
319, A4,2019,Automatic,3250,Petrol,145,38.7,2.0
320, Q3,2017,Manual,15968,Petrol,150,49.6,1.4
321, A4,2016,Manual,19093,Diesel,20,70.6,2.0
322, A3,2016,Manual,72643,Diesel,20,65.7,2.0
323, A3,2016,Semi-Auto,38000,Diesel,20,70.6,1.6
324, A6,2016,Manual,40070,Diesel,30,61.4,2.0
325, Q3,2019,Manual,6000,Petrol,145,40.9,1.5
326, A1,2016,Manual,21809,Petrol,0,67.3,1.0
327, Q5,2018,Semi-Auto,17640,Petrol,145,40.9,2.0
328, A1,2016,Manual,23745,Petrol,30,57.6,1.4
329, A1,2017,Manual,27015,Petrol,145,55.4,1.4
330, Q7,2020,Semi-Auto,4000,Diesel,145,33.2,3.0
331, A1,2012,Manual,56700,Diesel,20,68.9,2.0
332, Q3,2015,Manual,38430,Diesel,145,56.5,2.0
333, Q7,2020,Semi-Auto,582,Diesel,145,33.2,3.0
334, Q8,2019,Semi-Auto,9089,Diesel,145,33.6,3.0
335, Q2,2019,Manual,4199,Diesel,145,49.6,1.6
336, A3,2019,Automatic,14537,Petrol,145,41.5,1.5
337, Q2,2018,Semi-Auto,8600,Petrol,150,54.3,1.4
338, A4,2017,Manual,21225,Diesel,145,72.4,2.0
339, A5,2017,Manual,40993,Diesel,150,65.7,2.0
340, A6,2018,Semi-Auto,15350,Diesel,145,61.4,2.0
341, A3,2019,Semi-Auto,50,Petrol,145,34.9,2.0
342, A8,2017,Semi-Auto,45000,Diesel,145,47.1,3.0
343, A1,2020,Semi-Auto,3000,Petrol,145,44.8,1.0
344, Q3,2019,Manual,1500,Diesel,145,42.8,2.0
345, A3,2017,Manual,40000,Diesel,145,74.3,1.6
346, A5,2014,Manual,55000,Diesel,30,61.4,2.0
347, A3,2019,Manual,4567,Petrol,145,44.8,1.5
348, A1,2015,Manual,47000,Petrol,30,55.4,1.4
349, A6,2019,Semi-Auto,6000,Diesel,145,50.4,2.0
350, A4,2017,Manual,41830,Diesel,20,70.6,2.0
351, Q3,2017,Semi-Auto,9347,Petrol,145,47.9,1.4
352, Q2,2019,Manual,3371,Petrol,145,43.5,1.5
353, Q3,2019,Semi-Auto,5820,Diesel,145,47.1,2.0
354, Q7,2019,Semi-Auto,5900,Diesel,150,33.2,3.0
355, Q3,2017,Semi-Auto,22000,Petrol,145,47.9,1.4
356, Q5,2015,Semi-Auto,75960,Diesel,235,42.8,3.0
357, A5,2019,Automatic,5000,Diesel,145,50.4,2.0
358, A7,2017,Automatic,40763,Diesel,160,52.3,3.0
359, A3,2014,Manual,87000,Diesel,0,74.3,1.6
360, Q3,2016,Semi-Auto,30647,Diesel,145,51.4,2.0
361, Q5,2019,Semi-Auto,4750,Diesel,145,39.2,2.0
362, Q5,2017,Automatic,27403,Petrol,150,40.4,2.0
363, A5,2020,Automatic,4521,Petrol,145,39.2,2.0
364, Q8,2018,Semi-Auto,18782,Diesel,145,32.8,3.0
365, A3,2015,Manual,34500,Diesel,0,83.1,1.6
366, A4,2019,Semi-Auto,4254,Petrol,145,38.2,2.0
367, A7,2019,Semi-Auto,933,Diesel,145,45.6,2.0
368, Q3,2020,Manual,24,Petrol,145,39.8,1.5
369, Q3,2019,Manual,7419,Diesel,145,40.9,2.0
370, A4,2016,Manual,65106,Diesel,20,70.6,2.0
371, Q2,2017,Semi-Auto,28943,Diesel,145,57.7,2.0
372, Q2,2017,Semi-Auto,11126,Diesel,145,57.7,2.0
373, A3,2016,Manual,103040,Diesel,20,68.9,2.0
374, A5,2017,Automatic,58727,Diesel,145,67.3,2.0
375, A5,2019,Semi-Auto,4520,Petrol,145,39.8,2.0
376, Q2,2017,Manual,24756,Petrol,125,52.3,1.4
377, Q3,2020,Manual,1817,Diesel,145,42.8,2.0
378, Q2,2019,Semi-Auto,4757,Diesel,145,47.9,2.0
379, Q5,2016,Manual,44912,Diesel,205,47.9,2.0
380, A5,2019,Automatic,5117,Diesel,145,45.6,2.0
381, A5,2015,Automatic,87660,Diesel,160,50.4,2.0
382, Q3,2019,Manual,5000,Diesel,145,42.8,2.0
383, A4,2014,Automatic,55119,Petrol,300,34.9,3.0
384, S4,2018,Automatic,29000,Petrol,150,35.8,3.0
385, A3,2018,Semi-Auto,9058,Diesel,145,62.8,2.0
386, A3,2018,Manual,25955,Diesel,145,51.4,1.6
387, A3,2019,Semi-Auto,5523,Petrol,150,42.2,1.5
388, Q2,2020,Manual,2000,Petrol,145,43.5,1.5
389, A4,2017,Manual,25974,Petrol,145,51.4,1.4
390, A5,2019,Semi-Auto,3481,Petrol,145,39.8,2.0
391, A3,2013,Automatic,79000,Petrol,125,50.4,1.8
392, A1,2017,Manual,4520,Petrol,0,67.3,1.0
393, A4,2019,Semi-Auto,6339,Diesel,150,39.2,3.0
394, Q7,2019,Semi-Auto,17003,Diesel,150,32.8,3.0
395, Q3,2014,Manual,33679,Diesel,160,50.4,2.0
396, A4,2016,Semi-Auto,40491,Diesel,0,72.4,2.0
397, A6,2019,Automatic,4985,Diesel,145,50.4,2.0
398, Q2,2019,Automatic,5209,Petrol,145,42.8,1.5
399, A3,2019,Manual,6128,Diesel,145,55.4,2.0
400, TT,2007,Manual,50750,Petrol,555,27.4,3.2
401, A4,2019,Automatic,7500,Diesel,145,47.9,2.0
402, A1,2015,Manual,39854,Diesel,0,80.7,1.6
403, A1,2019,Semi-Auto,3464,Petrol,145,47.1,1.0
404, Q3,2015,Semi-Auto,19300,Petrol,145,47.9,1.4
405, A4,2016,Manual,52557,Diesel,30,64.2,2.0
406, A5,2017,Semi-Auto,15114,Diesel,145,62.8,2.0
407, A4,2013,Manual,63000,Diesel,30,65.7,2.0
408, Q7,2019,Semi-Auto,2977,Diesel,145,33.2,3.0
409, A5,2019,Automatic,2607,Petrol,145,39.8,2.0
410, Q2,2017,Manual,12343,Petrol,145,50.4,1.4
411, A3,2019,Manual,7062,Diesel,145,49.6,1.6
412, Q5,2015,Manual,66790,Diesel,205,47.9,2.0
413, A4,2015,Manual,54654,Diesel,145,55.4,2.0
414, Q3,2019,Automatic,10501,Diesel,145,38.7,2.0
415, A4,2017,Semi-Auto,13000,Diesel,145,62.8,2.0
416, A5,2014,Manual,60670,Diesel,145,55.4,2.0
417, TT,2017,Semi-Auto,36397,Petrol,150,42.8,2.0
418, Q5,2019,Automatic,2100,Diesel,145,38.2,2.0
419, A3,2015,Manual,51000,Diesel,30,67.3,1.6
420, A6,2015,Manual,38431,Diesel,30,61.4,2.0
421, Q3,2019,Manual,5000,Diesel,145,42.8,2.0
422, A4,2017,Manual,32512,Diesel,30,67.3,2.0
423, A1,2015,Manual,22000,Petrol,30,55.4,1.4
424, A5,2017,Automatic,13425,Diesel,150,62.8,2.0
425, A3,2017,Manual,16744,Petrol,145,55.4,1.5
426, A1,2019,Semi-Auto,3300,Petrol,150,40.9,2.0
427, A4,2018,Manual,15091,Petrol,145,52.3,1.4
428, RS3,2016,Automatic,50796,Petrol,300,34.9,2.5
429, A4,2018,Manual,8940,Petrol,145,52.3,1.4
430, Q2,2019,Semi-Auto,5713,Diesel,145,44.8,1.6
431, A3,2017,Manual,27849,Diesel,150,65.7,2.0
432, A1,2020,Semi-Auto,5000,Petrol,145,44.8,1.5
433, RS3,2019,Automatic,4550,Petrol,150,29.7,2.5
434, Q3,2019,Manual,5000,Petrol,145,39.8,1.5
435, Q3,2019,Automatic,6500,Diesel,150,48.7,2.0
436, A5,2019,Automatic,10,Petrol,145,40.4,2.0
437, TT,2020,Semi-Auto,5515,Petrol,150,35.3,2.0
438, Q5,2019,Automatic,6000,Diesel,145,39.2,2.0
