age,calls,internet_usage,monthly_charge,customer_support_calls,churn,contract_length,data_usage,sms_usage,gender,payment_method_Credit Card,payment_method_PayPal,region_North,region_South,region_West
68,41,7,55.853350821380296,5,1,24,2.947684831822906,77,0,0,0,1,0,0
61,42,9,57.149584102641796,5,0,19,18.80734125749257,1,1,1,0,1,0,0
69,24,6,88.07553158587362,7,0,8,14.069828723715453,118,1,0,1,1,0,0
20,20,6,80.91090316581305,9,1,31,2.2889041229982663,36,1,1,0,0,0,0
54,20,7,55.05613380613951,8,1,21,6.718307771989509,68,0,0,0,0,0,0
68,38,6,54.20534030574987,6,0,17,14.455269684260351,165,1,0,0,1,0,0
24,49,5,85.048456572956,8,1,23,2.279661427906662,40,1,0,0,0,0,0
38,21,9,53.638150318209675,6,1,16,12.061238743349191,61,0,1,0,0,0,1
26,40,8,91.09300296451781,9,0,6,7.571778082106178,59,1,1,0,0,1,0
56,31,6,85.31211135782482,6,0,8,12.797394837582065,124,0,0,0,0,1,0
35,45,5,54.06743903209499,7,0,25,1.869098642437744,110,0,1,0,0,1,0
21,25,8,54.241885704259595,7,0,18,17.55919931689515,13,0,1,0,1,0,0
42,42,9,99.33197892505876,7,1,25,19.49629041437054,83,1,0,0,0,0,0
31,23,8,68.71353978780601,7,1,12,19.40867925042814,129,1,1,0,0,0,1
67,42,5,68.53210735334454,8,0,15,15.24338480311557,69,0,0,1,0,0,1
26,30,8,90.63997836287513,9,0,26,3.471638562482007,144,1,0,1,1,0,0
43,43,7,97.36242886919294,6,0,26,15.407000722651429,122,1,0,1,0,0,1
19,46,8,99.30005319114355,6,0,32,1.4671514127172287,88,1,0,1,0,0,1
37,36,6,87.66890926294708,7,1,10,1.4203474790509478,27,1,0,0,0,0,1
45,25,6,68.81297927654579,7,0,16,7.148594163841284,65,0,0,0,0,0,1
64,43,7,54.17503583493344,5,0,7,10.28422061768865,162,1,0,0,0,0,0
24,24,5,88.85734579637185,9,0,17,15.63774093834807,4,0,0,1,0,0,1
61,39,6,77.92021248679025,8,1,23,13.982612155523599,192,0,0,1,0,1,0
25,21,9,71.21110046234881,6,0,26,9.472151421158218,167,1,1,0,1,0,0
64,25,6,95.3177192547368,5,1,21,6.1989066593516515,183,0,1,0,0,0,0
52,41,6,55.559874115307565,5,0,22,19.945365502996513,163,1,0,1,0,0,1
31,30,5,74.63125521454296,6,1,7,9.097444742483486,44,1,0,1,0,0,0
34,35,8,50.567682238370956,8,1,14,9.576353462263834,150,0,0,1,0,0,1
53,35,6,73.43303209970631,5,0,15,4.108852602641715,46,0,0,1,0,1,0
67,20,7,52.815163784091865,5,0,7,16.101381426248658,30,0,1,0,1,0,0
57,28,8,55.9408958134036,9,1,9,14.179962289848284,138,0,0,1,0,0,1
21,47,9,55.87631233885524,8,1,8,5.194622642986447,9,1,1,0,0,0,1
19,46,5,82.46051510580318,5,0,23,2.5652398667010115,194,1,0,1,0,0,1
23,25,9,87.30224396327117,8,0,29,13.929486739419549,117,1,0,1,0,0,1
59,35,8,79.16843825485799,6,1,18,13.435713071341569,13,0,0,1,1,0,0
21,48,8,98.10862742372709,7,0,31,6.191931012965977,79,0,1,0,1,0,0
46,22,8,68.7435289761852,5,0,30,19.066407682757795,92,0,1,0,0,1,0
35,39,9,64.28560431409304,9,1,35,3.870099943837104,9,1,0,0,1,0,0
43,47,8,93.42995640947302,6,0,18,9.214361219809437,75,0,0,1,0,0,1
61,46,9,61.17979192597263,8,0,17,18.928702483184377,93,1,0,0,0,1,0
51,23,8,98.16112697203056,6,0,14,8.974819021596325,104,0,0,0,0,1,0
27,38,7,50.60772373449082,5,0,31,13.131993005617625,0,1,1,0,0,1,0
53,45,8,98.49394133538195,8,0,24,8.554293561293091,132,1,1,0,0,0,1
31,22,9,52.1579955975288,7,1,35,6.210088844624731,19,0,0,0,0,0,0
48,38,6,94.55715568490356,6,0,34,19.695575311236738,7,0,0,1,0,0,1
65,39,8,76.385055454315,5,0,3,8.777346119985818,170,1,1,0,1,0,0
32,26,6,99.64823980596502,9,0,26,17.987884869903553,0,1,0,1,1,0,0
25,39,7,53.68982823676994,8,0,23,5.369137511930638,56,0,0,1,0,0,1
31,28,5,77.69271422006604,6,1,15,5.048989376476583,63,0,0,0,0,0,1
40,20,7,98.46512678095495,6,0,4,1.5915475748057157,117,1,0,0,0,1,0
57,27,8,76.15489220850745,7,0,29,13.381669682141816,27,0,0,0,0,0,1
38,26,6,81.46993190676312,7,1,22,8.002000530751461,120,1,0,0,0,1,0
33,37,6,84.78743444923086,9,0,25,17.422806746953103,106,1,1,0,1,0,0
62,27,9,72.72705323838866,9,0,13,9.990988227139585,164,0,1,0,0,1,0
35,20,6,81.37790400420317,5,0,18,19.395675130379715,174,0,0,0,0,0,1
64,30,9,79.21571559615501,5,0,33,4.524984798359302,164,0,1,0,1,0,0
41,47,5,95.05790052454944,9,0,16,17.503840191156605,48,0,0,0,0,0,0
43,44,8,52.272319017072896,9,0,2,15.755340203043094,119,0,0,1,0,1,0
42,44,9,64.04815947961151,8,1,35,15.647515048236988,43,1,0,1,1,0,0
62,37,5,97.52057420382793,7,0,34,17.050881334220865,55,1,0,1,0,1,0
58,42,6,94.51318919454582,5,0,30,15.45945582791698,155,0,0,0,1,0,0
46,49,6,72.78283763928565,7,1,13,12.898186110996892,110,0,0,1,1,0,0
32,29,5,81.00662989007684,7,0,13,3.4936526759653637,133,0,1,0,0,1,0
62,22,6,63.86905914905663,9,1,18,1.6179974103337864,107,1,0,1,0,0,0
18,26,5,59.40605798618807,8,0,32,18.49610910849805,188,0,0,1,1,0,0
42,47,9,73.18492024699911,6,0,32,12.716355975894023,147,0,0,1,1,0,0
24,35,9,67.66761140130264,8,1,35,16.13420852854735,113,1,1,0,1,0,0
26,45,5,79.1828055925436,8,0,29,10.148924678738451,77,1,0,0,0,0,0
41,35,9,53.88673184824924,7,0,29,3.228855590285495,129,0,1,0,0,0,0
18,44,9,98.71974038330833,8,0,16,3.3785300518484584,36,0,0,0,0,0,1
61,39,9,99.31053722398013,5,0,10,14.025740457350455,19,0,0,0,0,1,0
25,47,7,84.90808570098726,7,1,30,9.175812003089792,25,1,0,1,0,0,0
41,36,8,76.80481831720601,5,0,25,4.8099698073063974,28,0,0,0,0,1,0
28,21,6,65.47638081431639,6,0,20,10.340296388087301,0,0,1,0,0,0,1
68,20,7,90.68975098534743,7,0,5,2.2199698044275475,118,0,1,0,0,1,0
34,35,9,84.23655862769397,6,1,1,12.057456636373576,34,1,0,0,0,0,0
25,49,5,58.130846967244565,7,0,30,6.1108746842668555,197,1,0,1,0,1,0
52,31,9,95.54635922469213,9,1,3,16.153622912106577,58,0,0,1,0,0,0
52,24,8,91.12686214615846,8,0,14,6.896877219547902,68,0,1,0,0,1,0
50,24,9,97.4899956645962,9,1,30,9.649182832554223,160,1,0,1,0,0,0
22,46,5,86.28597541941801,6,1,4,1.220790258253912,178,1,0,0,0,0,0
59,42,8,80.6707597967895,8,1,18,2.3764908680966186,11,1,0,0,0,1,0
56,28,9,70.91215181453094,7,1,25,8.457377571727012,19,1,1,0,0,0,1
58,28,8,96.63642416770065,8,0,1,10.118837859625346,180,1,0,0,1,0,0
45,22,6,93.30319447502042,5,0,15,12.40039041426677,42,1,1,0,0,0,1
24,38,6,52.26093350530947,8,0,9,6.541588995476761,125,1,0,0,0,1,0
26,35,9,51.3183487248626,5,0,15,14.204655836404308,49,1,1,0,0,0,1
25,35,8,68.82316834390248,8,0,24,17.342325546594886,28,1,0,1,0,0,0
29,22,5,90.52766653909165,5,0,4,15.817168788973646,184,0,0,0,1,0,0
51,39,9,99.36380646574722,6,0,12,1.7527576816187858,38,0,0,0,0,1,0
50,43,6,57.52084455517641,9,0,6,10.12963199789875,183,0,1,0,0,1,0
65,41,6,79.70653576760675,7,1,24,2.9936733899453225,170,1,1,0,0,1,0
40,43,9,69.04454283155107,8,0,11,5.598855301388022,177,0,0,0,1,0,0
41,20,8,98.49571989073016,9,1,13,19.74658927207578,150,1,1,0,0,0,0
54,43,6,92.10594615678544,7,1,34,3.707415315128751,171,1,0,0,0,1,0
52,39,8,91.91643523555689,7,1,25,10.478874915575766,37,0,0,1,0,0,1
61,30,6,73.43465798974852,5,1,7,12.744958952044263,83,1,1,0,0,1,0
57,36,6,70.74097511688326,6,1,4,14.346834440337975,150,0,0,0,0,1,0
39,27,7,63.670353596535314,6,1,8,11.633324986251369,127,0,0,1,0,1,0
44,23,6,52.81877483254635,9,1,20,1.1856461009644894,125,0,0,1,0,1,0
52,25,5,93.23611881275266,6,0,29,7.202764856635846,44,1,0,0,0,0,0
18,27,9,90.64505045650388,8,0,10,10.836521224309518,51,0,1,0,0,0,1
52,39,9,99.98588366430653,6,0,34,2.6694634837518336,79,1,0,0,0,0,0
54,49,8,99.83184185369527,9,0,26,7.661911692974434,177,0,0,1,0,0,1
64,22,6,77.77158528013138,6,1,3,1.6308590670359648,123,0,0,0,0,1,0
31,35,5,88.44937075902553,8,1,6,2.4929914459453943,118,0,1,0,1,0,0
20,49,8,97.23828649412141,5,1,5,8.541542247830325,7,1,0,1,0,0,0
18,44,7,92.48236953387058,9,0,5,3.521599326818147,84,1,0,0,1,0,0
22,22,8,62.36740508715988,5,1,23,11.783276116969605,128,1,1,0,0,0,0
43,44,8,72.52720676550467,5,1,9,14.099834413608049,7,0,0,1,0,1,0
31,48,6,56.45797075757475,5,1,35,16.211147283072574,156,0,1,0,0,0,0
56,37,7,97.70255136293612,7,1,20,4.8028546406513914,95,1,0,1,0,1,0
44,33,8,80.308731722544,7,1,35,4.182169062922325,101,1,0,0,0,0,0
26,37,5,61.43214027517314,5,0,18,2.986788966353605,4,1,1,0,0,1,0
32,21,5,83.58503422029284,9,1,17,13.092174741329098,85,1,0,1,0,1,0
32,41,9,80.90641202289478,8,0,24,14.423038803251123,174,1,1,0,0,0,1
43,22,7,67.90813590164203,8,0,3,1.6001367516871987,33,1,1,0,0,1,0
59,35,7,55.67787960998145,6,1,32,18.788032678630106,192,0,0,0,0,0,1
30,48,9,83.57865977963998,9,0,35,1.9874543893779757,54,1,1,0,0,1,0
68,28,8,76.01538504518966,7,1,13,11.28463037072034,118,0,0,1,1,0,0
49,23,7,88.61591958678196,5,0,25,14.472149869567412,170,0,0,1,0,1,0
56,20,5,76.00817505559966,6,1,9,17.548413351175626,157,1,0,1,1,0,0
66,23,5,92.609075015927,8,0,4,14.567651710516127,113,1,0,1,1,0,0
69,20,6,77.59534193872427,7,1,14,16.232833578326044,144,0,0,0,0,1,0
49,33,7,78.04689857676931,7,1,34,7.449553658313315,25,1,1,0,1,0,0
21,40,8,93.83268013291726,5,0,11,16.481677161183732,135,1,0,0,0,0,1
47,35,9,70.17414331061985,8,0,3,2.5221820813088276,46,0,1,0,0,0,0
54,39,9,56.70076142253204,9,1,28,18.001516465150026,112,0,1,0,0,1,0
40,43,8,51.43913381566695,7,0,29,11.404255146920988,75,0,1,0,1,0,0
56,27,6,87.75686278368096,5,0,9,16.52865762928738,71,1,0,0,0,1,0
62,26,9,81.01547756767323,9,0,3,9.594047405847702,88,0,1,0,0,0,1
32,22,7,85.20398840496118,8,0,25,13.227976208733974,45,1,0,0,0,1,0
60,36,6,60.64820807544554,7,1,34,11.001650557786151,195,0,0,1,0,1,0
46,20,7,56.818573779338486,9,1,12,14.900200913351306,32,0,0,1,1,0,0
53,35,5,50.7272332833941,9,0,9,2.550969658581202,0,0,1,0,0,0,1
30,31,6,67.52937794032985,9,0,15,2.146689595820712,146,1,0,0,0,0,0
49,46,9,79.49588434273166,7,1,25,5.694961446192782,30,1,0,1,0,0,0
24,38,6,69.61220225498661,7,0,5,4.0313489221505785,141,0,0,0,1,0,0
68,41,6,71.87374610118646,6,0,11,17.56388776525183,52,0,0,0,0,1,0
39,42,6,95.20793472468742,8,1,34,5.165065759802842,47,0,1,0,1,0,0
45,41,6,67.41277335116501,5,1,24,19.541439860563496,68,1,0,1,1,0,0
19,33,7,75.69947445799053,9,1,15,7.40102004365103,104,0,1,0,1,0,0
59,49,5,89.18265063705715,6,1,8,4.460240398085286,89,1,1,0,0,1,0
62,25,8,69.8271391160635,5,0,5,16.004271635707106,189,0,0,1,0,0,1
23,25,6,81.10433501139367,6,1,26,13.515447734516647,193,0,0,1,1,0,0
45,32,9,93.11818543733726,7,0,18,10.46571861260964,191,0,0,0,0,1,0
45,38,6,97.47603118288211,9,0,6,11.551907467814994,197,0,0,1,0,0,1
61,41,9,57.3536740464519,5,0,13,14.664833787173013,62,0,0,0,1,0,0
61,27,7,96.32938125807472,5,0,28,5.340640085294676,72,0,0,0,0,0,0
37,46,9,74.6058146539769,5,1,5,19.930344405078095,160,1,0,0,0,0,1
47,46,8,62.91221941494792,5,0,13,19.52107008078888,168,0,0,1,1,0,0
28,21,5,72.95678781191307,5,0,17,13.356188040591801,88,1,1,0,0,0,1
45,40,9,99.00162876427385,6,0,32,4.791306567653757,175,0,0,0,0,0,1
42,49,9,74.63090469964348,9,0,29,13.924336606194535,12,0,1,0,0,0,1
56,20,5,66.43758051437541,7,1,3,2.371769770604341,72,1,1,0,0,0,1
50,47,8,81.67004271583629,7,0,34,1.5823975419103151,76,0,0,1,0,0,1
18,34,6,62.00728093890965,7,1,27,5.89597488171306,158,1,1,0,0,0,1
44,20,9,53.7931664054332,7,0,13,9.78983617804701,67,1,1,0,1,0,0
69,24,5,56.44398609553246,6,0,33,17.49717760275923,97,0,0,1,0,0,0
30,47,7,56.40229194788862,8,1,6,14.816212325559853,124,1,0,0,0,1,0
58,48,5,57.595134675614716,9,0,24,15.11142390279964,101,1,1,0,0,0,1
20,35,7,56.94135863247051,5,1,19,9.084373354513431,131,0,0,1,0,1,0
56,38,8,82.04373724016074,8,0,16,7.572764858392295,101,1,1,0,1,0,0
