ID,성별,부모 학력 수준,학업 성적
554,남성,낮음,보통
555,남성,중간,낮음
556,여성,낮음,낮음
557,여성,중간,보통
558,남성,높음,보통
559,여성,중간,보통
560,남성,낮음,보통
561,여성,낮음,보통
562,여성,낮음,보통
563,남성,중간,우수
564,여성,낮음,보통
565,남성,중간,낮음
566,남성,중간,낮음
567,여성,중간,우수
568,여성,높음,보통
569,남성,낮음,낮음
570,남성,중간,보통
571,남성,낮음,보통
572,남성,중간,우수
573,여성,낮음,보통
574,여성,낮음,보통
575,여성,낮음,보통
576,남성,중간,낮음
577,남성,낮음,낮음
578,여성,낮음,우수
579,여성,낮음,낮음
580,여성,높음,보통
581,여성,낮음,우수
582,여성,낮음,보통
583,여성,중간,보통
584,여성,중간,보통
585,여성,낮음,보통
586,여성,중간,보통
587,여성,낮음,보통
588,여성,중간,보통
589,여성,낮음,보통
590,여성,낮음,보통
591,남성,낮음,보통
592,남성,낮음,보통
593,남성,중간,보통
594,여성,낮음,보통
595,여성,중간,우수
596,여성,중간,보통
597,남성,낮음,낮음
598,남성,낮음,낮음
599,여성,낮음,보통
600,여성,낮음,보통
601,여성,높음,보통
602,여성,낮음,낮음
603,여성,낮음,보통
604,남성,낮음,보통
605,남성,높음,우수
606,남성,낮음,보통
607,여성,중간,우수
608,여성,높음,낮음
609,여성,낮음,보통
610,여성,중간,보통
611,남성,낮음,보통
612,여성,낮음,보통
613,남성,중간,우수
614,여성,중간,보통
615,여성,중간,우수
616,여성,낮음,보통
617,여성,중간,낮음
618,남성,중간,우수
619,남성,높음,우수
620,남성,중간,보통
621,여성,낮음,낮음
622,남성,중간,보통
623,남성,낮음,낮음
624,남성,낮음,우수
625,여성,중간,보통
626,남성,낮음,우수
627,남성,중간,보통
628,남성,중간,낮음
629,남성,낮음,낮음
630,여성,낮음,낮음
631,남성,낮음,보통
632,남성,낮음,보통
633,여성,중간,보통
634,여성,낮음,우수
635,남성,낮음,우수
636,남성,낮음,보통
637,여성,낮음,보통
638,여성,낮음,우수
639,남성,낮음,보통
640,여성,중간,보통
641,남성,낮음,낮음
642,여성,중간,우수
643,여성,낮음,보통
644,여성,낮음,보통
645,남성,낮음,보통
646,여성,중간,보통
647,여성,중간,보통
648,여성,낮음,보통
649,여성,낮음,낮음
650,여성,낮음,보통
651,남성,낮음,낮음
652,여성,낮음,보통
653,여성,낮음,우수
654,여성,중간,보통
655,여성,낮음,보통
656,여성,낮음,보통
657,남성,중간,보통
658,남성,낮음,보통
659,여성,중간,낮음
660,남성,중간,우수
661,남성,낮음,보통
662,남성,낮음,보통
663,여성,낮음,보통
664,여성,낮음,보통
665,남성,중간,보통
666,여성,낮음,보통
667,여성,낮음,보통
668,여성,중간,우수
669,남성,낮음,보통
670,남성,중간,보통
671,여성,낮음,보통
672,남성,중간,낮음
673,여성,낮음,보통
674,여성,중간,보통
675,여성,낮음,보통
676,여성,낮음,보통
677,여성,낮음,보통
678,여성,낮음,보통
679,남성,중간,보통
680,남성,낮음,보통
681,여성,낮음,보통
682,남성,낮음,보통
683,남성,낮음,보통
684,여성,낮음,낮음
685,남성,낮음,보통
686,여성,높음,우수
687,남성,낮음,보통
688,남성,중간,보통
689,남성,낮음,낮음
690,남성,낮음,우수
691,여성,중간,낮음
692,여성,중간,보통
693,여성,중간,보통
694,여성,중간,보통
695,여성,낮음,보통
696,여성,낮음,우수
697,여성,중간,우수
698,여성,중간,보통
699,여성,중간,보통
700,남성,낮음,보통
701,여성,중간,우수
702,여성,낮음,보통
703,남성,중간,우수
704,여성,낮음,보통
705,여성,낮음,보통
706,남성,중간,보통
707,남성,낮음,낮음
708,남성,낮음,보통
709,남성,낮음,우수
710,여성,중간,낮음
711,남성,낮음,우수
712,여성,낮음,우수
713,여성,낮음,우수
714,남성,높음,우수
715,여성,낮음,보통
716,여성,중간,우수
717,남성,중간,보통
718,여성,중간,우수
719,여성,낮음,보통
720,남성,중간,우수
721,여성,낮음,보통
722,남성,낮음,보통
723,여성,낮음,우수
724,남성,낮음,낮음
725,남성,낮음,낮음
726,남성,낮음,보통
727,여성,중간,보통
728,남성,낮음,보통
729,여성,낮음,우수
730,남성,낮음,낮음
731,여성,중간,보통
732,남성,낮음,낮음
733,여성,낮음,우수
734,남성,낮음,낮음
735,여성,낮음,보통
736,남성,높음,보통
737,남성,중간,우수
738,여성,낮음,보통
739,남성,중간,보통
740,남성,낮음,보통
741,남성,중간,보통
742,여성,중간,낮음
743,여성,낮음,우수
744,여성,중간,보통
745,남성,낮음,낮음
746,남성,중간,보통
747,남성,낮음,보통
748,남성,낮음,보통
749,여성,중간,보통
750,남성,낮음,우수
751,남성,낮음,보통
752,남성,낮음,보통
753,남성,높음,보통
754,여성,낮음,우수
755,남성,중간,낮음
756,여성,중간,우수
757,남성,낮음,낮음
758,남성,중간,보통
759,여성,낮음,보통
760,남성,낮음,보통
761,여성,낮음,보통
762,여성,낮음,낮음
763,남성,낮음,우수
764,여성,낮음,보통
765,남성,낮음,보통
766,여성,낮음,보통
767,여성,낮음,보통
768,남성,낮음,보통
769,여성,낮음,보통
770,남성,낮음,보통
771,남성,낮음,낮음
772,남성,중간,보통
773,여성,낮음,보통
774,여성,중간,보통
775,남성,낮음,보통
776,여성,낮음,낮음
777,여성,낮음,보통
778,여성,낮음,낮음
779,여성,낮음,보통
780,남성,중간,우수
781,여성,중간,낮음
782,여성,높음,우수
783,여성,낮음,우수
784,여성,중간,보통
785,남성,중간,우수
786,여성,낮음,낮음
787,여성,낮음,보통
788,여성,낮음,낮음
789,남성,중간,보통
790,여성,높음,보통
791,여성,낮음,보통
792,여성,낮음,보통
793,남성,낮음,보통
794,남성,낮음,우수
795,여성,낮음,낮음
796,여성,중간,보통
797,남성,낮음,보통
798,여성,중간,보통
799,남성,낮음,보통
800,여성,중간,낮음
801,남성,낮음,보통
802,남성,낮음,보통
803,여성,중간,우수
804,여성,낮음,우수
805,여성,낮음,보통
806,남성,낮음,보통
807,여성,낮음,보통
808,여성,낮음,낮음
809,남성,낮음,보통
810,남성,중간,낮음
811,남성,낮음,낮음
812,남성,낮음,낮음
813,여성,높음,보통
814,남성,낮음,우수
815,여성,낮음,보통
816,남성,낮음,우수
817,여성,중간,보통
818,남성,중간,보통
819,여성,낮음,보통
820,여성,낮음,우수
821,여성,낮음,우수
822,여성,중간,우수
823,남성,낮음,낮음
824,여성,낮음,우수
825,여성,낮음,낮음
826,남성,낮음,보통
827,여성,중간,보통
828,여성,낮음,보통
829,여성,낮음,보통
830,남성,낮음,보통
831,여성,낮음,보통
832,여성,중간,우수
833,남성,중간,보통
834,여성,낮음,우수
835,남성,낮음,낮음
836,여성,낮음,보통
837,남성,낮음,보통
838,여성,낮음,보통
839,남성,중간,보통
840,여성,중간,보통
841,여성,낮음,낮음
842,남성,낮음,보통
843,여성,낮음,낮음
844,남성,낮음,보통
845,여성,낮음,보통
846,남성,높음,우수
847,남성,높음,우수
848,남성,낮음,보통
849,여성,낮음,보통
850,남성,중간,보통
851,남성,높음,보통
852,여성,낮음,보통
853,여성,낮음,우수
854,남성,낮음,보통
855,남성,낮음,보통
856,여성,중간,우수
857,남성,낮음,보통
858,여성,중간,보통
859,남성,낮음,낮음
860,남성,중간,보통
861,여성,중간,보통
862,여성,높음,우수
863,남성,중간,낮음
864,여성,낮음,보통
865,남성,중간,우수
866,남성,낮음,우수
867,남성,낮음,낮음
868,남성,중간,낮음
869,남성,중간,보통
870,남성,중간,낮음
871,남성,낮음,낮음
872,여성,낮음,보통
873,남성,중간,우수
874,남성,중간,우수
875,여성,중간,낮음
876,남성,낮음,보통
877,남성,낮음,우수
878,남성,낮음,보통
879,여성,낮음,보통
880,여성,중간,보통
881,남성,중간,보통
882,여성,중간,보통
883,여성,낮음,보통
884,남성,중간,낮음
885,여성,중간,낮음
886,여성,중간,보통
887,여성,중간,우수
888,남성,낮음,보통
889,여성,낮음,보통
890,남성,낮음,낮음
891,여성,낮음,우수
892,여성,중간,우수
893,여성,높음,보통
894,남성,낮음,보통
895,여성,중간,보통
896,여성,낮음,낮음
897,남성,낮음,낮음
898,여성,낮음,보통
899,남성,중간,보통
900,여성,낮음,보통
901,남성,높음,우수
902,여성,높음,보통
903,여성,낮음,낮음
904,여성,중간,우수
905,여성,낮음,보통
906,남성,낮음,우수
907,남성,낮음,낮음
908,여성,낮음,우수
909,여성,중간,보통
910,남성,중간,보통
911,남성,중간,낮음
912,여성,낮음,보통
913,여성,중간,보통
914,여성,중간,보통
915,여성,중간,낮음
916,여성,낮음,보통
917,남성,중간,우수
918,여성,낮음,낮음
919,여성,중간,보통
920,남성,낮음,우수
921,남성,낮음,보통
922,여성,낮음,낮음
923,남성,낮음,보통
924,여성,중간,보통
925,남성,낮음,보통
926,남성,낮음,보통
927,남성,중간,보통
928,여성,낮음,보통
929,남성,중간,낮음
930,여성,낮음,낮음
931,남성,낮음,보통
932,남성,낮음,보통
933,남성,중간,보통
934,남성,중간,보통
935,남성,중간,우수
936,남성,낮음,보통
937,남성,중간,보통
938,여성,낮음,보통
939,남성,낮음,우수
940,남성,낮음,보통
941,남성,높음,보통
942,여성,높음,우수
943,남성,낮음,보통
944,남성,낮음,보통
945,여성,낮음,보통
946,여성,중간,보통
947,남성,낮음,우수
948,여성,낮음,보통
949,남성,낮음,낮음
950,여성,낮음,보통
951,남성,낮음,보통
952,여성,낮음,보통
953,여성,낮음,보통
954,남성,낮음,낮음
955,여성,낮음,보통
956,남성,중간,보통
957,남성,낮음,우수
958,여성,높음,우수
959,여성,낮음,보통
960,남성,낮음,보통
961,여성,낮음,보통
962,여성,낮음,낮음
963,여성,중간,우수
964,여성,낮음,보통
965,남성,낮음,보통
966,여성,낮음,보통
967,남성,낮음,보통
968,남성,낮음,보통
969,여성,중간,보통
970,여성,중간,우수
971,여성,중간,우수
972,남성,낮음,보통
973,여성,낮음,낮음
974,여성,낮음,보통
975,여성,낮음,보통
976,여성,낮음,보통
977,남성,낮음,보통
978,남성,중간,보통
979,남성,낮음,낮음
980,여성,중간,우수
981,여성,낮음,낮음
982,남성,낮음,보통
983,남성,낮음,우수
984,여성,낮음,우수
985,여성,낮음,보통
986,남성,낮음,낮음
987,여성,중간,낮음
988,남성,낮음,보통
989,여성,낮음,낮음
990,여성,낮음,보통
991,남성,낮음,우수
992,여성,낮음,보통
993,여성,중간,보통
994,여성,중간,보통
995,남성,낮음,보통
996,여성,높음,우수
997,남성,낮음,보통
998,여성,낮음,보통
999,여성,낮음,보통
1000,여성,낮음,우수
