ID,인종,수학 점수,읽기 점수,쓰기 점수
332,C그룹,47,37,35
333,group E,62,56,53
334,B그룹,90,78,81
335,C그룹,83,93,95
336,B그룹,61,68,66
337,D그룹,76,70,69
338,C그룹,49,51,43
339,B그룹,24,38,27
340,D그룹,35,55,60
341,C그룹,58,61,52
342,C그룹,61,73,63
343,B그룹,69,76,74
344,D그룹,67,72,67
345,D그룹,79,73,67
346,C그룹,72,80,75
347,B그룹,62,61,57
348,C그룹,77,94,95
349,D그룹,75,74,66
350,group E,87,74,76
351,B그룹,52,65,69
352,group E,66,57,52
353,C그룹,63,78,80
354,C그룹,46,58,57
355,C그룹,59,71,70
356,B그룹,61,72,70
357,A그룹,63,61,61
358,C그룹,42,66,69
359,D그룹,59,62,61
360,D그룹,80,90,89
361,B그룹,58,62,59
362,B그룹,85,84,78
363,C그룹,52,58,58
364,D그룹,27,34,32
365,C그룹,59,60,58
366,A그룹,49,58,60
367,C그룹,69,58,53
368,C그룹,61,66,61
369,A그룹,44,64,58
370,D그룹,73,84,85
371,group E,84,77,71
372,C그룹,45,73,70
373,D그룹,74,74,72
374,D그룹,82,97,96
375,D그룹,59,70,73
376,group E,46,43,41
377,D그룹,80,90,82
378,D그룹,85,95,100
379,A그룹,71,83,77
380,A그룹,66,64,62
381,B그룹,80,86,83
382,C그룹,87,100,95
383,C그룹,79,81,71
384,group E,38,49,45
385,A그룹,38,43,43
386,group E,67,76,75
387,group E,64,73,70
388,C그룹,57,78,67
389,D그룹,62,64,64
390,D그룹,73,70,75
391,group E,73,67,59
392,D그룹,77,68,77
393,group E,76,67,67
394,C그룹,57,54,56
395,C그룹,65,74,77
396,A그룹,48,45,41
397,B그룹,50,67,63
398,C그룹,85,89,95
399,B그룹,74,63,57
400,D그룹,60,59,54
401,C그룹,59,54,67
402,A그룹,53,43,43
403,A그룹,49,65,55
404,D그룹,88,99,100
405,C그룹,54,59,62
406,C그룹,63,73,68
407,B그룹,65,65,63
408,B그룹,82,80,77
409,D그룹,52,57,56
410,D그룹,87,84,85
411,D그룹,70,71,74
412,group E,84,83,78
413,D그룹,71,66,60
414,B그룹,63,67,67
415,C그룹,51,72,79
416,group E,84,73,69
417,C그룹,71,74,68
418,C그룹,74,73,67
419,D그룹,68,59,62
420,group E,57,56,54
421,C그룹,82,93,93
422,D그룹,57,58,64
423,D그룹,47,58,67
424,A그룹,59,85,80
425,B그룹,41,39,34
426,C그룹,62,67,62
427,C그룹,86,83,86
428,C그룹,69,71,65
429,A그룹,65,59,53
430,C그룹,68,63,54
431,C그룹,64,66,59
432,C그룹,61,72,70
433,C그룹,61,56,55
434,A그룹,47,59,50
435,C그룹,73,66,66
436,C그룹,50,48,53
437,D그룹,75,68,64
438,D그룹,75,66,73
439,C그룹,70,56,51
440,D그룹,89,88,82
441,C그룹,67,81,79
442,D그룹,78,81,80
443,A그룹,59,73,69
444,B그룹,73,83,76
445,A그룹,79,82,73
446,C그룹,67,74,77
447,D그룹,69,66,60
448,C그룹,86,81,80
449,B그룹,47,46,42
450,B그룹,81,73,72
451,C그룹,64,85,85
452,group E,100,92,97
453,C그룹,65,77,74
454,C그룹,65,58,49
455,C그룹,53,61,62
456,C그룹,37,56,47
457,D그룹,79,89,89
458,D그룹,53,54,48
459,group E,100,100,100
460,B그룹,72,65,68
461,C그룹,53,58,55
462,B그룹,54,54,45
463,group E,71,70,76
464,C그룹,77,90,91
465,A그룹,75,58,62
466,C그룹,84,87,91
467,D그룹,26,31,38
468,A그룹,72,67,65
469,A그룹,77,88,85
470,C그룹,91,74,76
471,C그룹,83,85,90
472,C그룹,63,69,74
473,C그룹,68,86,84
474,D그룹,59,67,61
475,B그룹,90,90,91
476,D그룹,71,76,83
477,group E,76,62,66
478,D그룹,80,68,72
479,D그룹,55,64,70
480,group E,76,71,67
481,B그룹,73,71,68
482,D그룹,52,59,56
483,C그룹,68,68,61
484,A그룹,59,52,46
485,B그룹,49,52,54
486,C그룹,70,74,71
487,D그룹,61,47,56
488,C그룹,60,75,74
489,B그룹,64,53,57
490,A그룹,79,82,82
491,A그룹,65,85,76
492,C그룹,64,64,70
493,C그룹,83,83,90
494,C그룹,81,88,90
495,B그룹,54,64,68
496,D그룹,68,64,66
497,C그룹,54,48,52
498,D그룹,59,78,76
499,B그룹,66,69,68
500,group E,76,71,72
501,D그룹,74,79,82
502,B그룹,94,87,92
503,C그룹,63,61,54
504,group E,95,89,92
505,D그룹,40,59,54
506,B그룹,82,82,80
507,A그룹,68,70,66
508,B그룹,55,59,54
509,C그룹,79,78,77
510,C그룹,86,92,87
511,D그룹,76,71,73
512,A그룹,64,50,43
513,D그룹,62,49,52
514,B그룹,54,61,62
515,B그룹,77,97,94
516,C그룹,76,87,85
517,D그룹,74,89,84
518,group E,66,74,73
519,D그룹,66,78,78
520,B그룹,67,78,79
521,D그룹,71,49,52
522,C그룹,91,86,84
523,D그룹,69,58,57
524,C그룹,54,59,50
525,C그룹,53,52,49
526,group E,68,60,59
527,C그룹,56,61,60
528,C그룹,36,53,43
529,D그룹,29,41,47
530,C그룹,62,74,70
531,C그룹,68,67,73
532,C그룹,47,54,53
533,group E,62,61,58
534,group E,79,88,94
535,B그룹,73,69,68
536,C그룹,66,83,83
537,C그룹,51,60,58
538,D그룹,51,66,62
539,group E,85,66,71
540,A그룹,97,92,86
541,C그룹,75,69,68
542,D그룹,79,82,80
543,C그룹,81,77,79
544,D그룹,82,95,89
545,D그룹,64,63,66
546,group E,78,83,80
547,A그룹,92,100,97
548,C그룹,72,67,64
549,C그룹,62,67,64
550,C그룹,79,72,69
551,C그룹,79,76,65
552,B그룹,87,90,88
553,B그룹,40,48,50
554,D그룹,77,62,64
555,group E,53,45,40
556,C그룹,32,39,33
557,C그룹,55,72,79
558,C그룹,61,67,66
559,B그룹,53,70,70
560,D그룹,73,66,62
561,D그룹,74,75,79
562,C그룹,63,74,74
563,C그룹,96,90,92
564,D그룹,63,80,80
565,B그룹,48,51,46
566,B그룹,48,43,45
567,group E,92,100,100
568,D그룹,61,71,78
569,B그룹,63,48,47
570,D그룹,68,68,67
571,B그룹,71,75,70
572,A그룹,91,96,92
573,C그룹,53,62,56
574,C그룹,50,66,64
575,group E,74,81,71
576,A그룹,40,55,53
577,A그룹,61,51,52
578,B그룹,81,91,89
579,B그룹,48,56,58
580,D그룹,53,61,68
581,D그룹,81,97,96
582,group E,77,79,80
583,D그룹,63,73,78
584,D그룹,73,75,80
585,D그룹,69,77,77
586,C그룹,65,76,76
587,A그룹,55,73,73
588,C그룹,44,63,62
589,C그룹,54,64,65
590,A그룹,48,66,65
591,C그룹,58,57,54
592,A그룹,71,62,50
593,group E,68,68,64
594,group E,74,76,73
595,C그룹,92,100,99
596,C그룹,56,79,72
597,B그룹,30,24,15
598,A그룹,53,54,48
599,D그룹,69,77,73
600,D그룹,65,82,81
601,D그룹,54,60,63
602,C그룹,29,29,30
603,group E,76,78,80
604,D그룹,60,57,51
605,D그룹,84,89,90
606,C그룹,75,72,62
607,C그룹,85,84,82
608,C그룹,40,58,54
609,group E,61,64,62
610,B그룹,58,63,65
611,D그룹,69,60,63
612,C그룹,58,59,66
613,C그룹,94,90,91
614,C그룹,65,77,74
615,A그룹,82,93,93
616,C그룹,60,68,72
617,group E,37,45,38
618,D그룹,88,78,83
619,D그룹,95,81,84
620,C그룹,65,73,68
621,C그룹,35,61,54
622,B그룹,62,63,56
623,C그룹,58,51,52
624,A그룹,100,96,86
625,group E,61,58,62
626,D그룹,100,97,99
627,B그룹,69,70,63
628,D그룹,61,48,46
629,D그룹,49,57,46
630,C그룹,44,51,55
631,D그룹,67,64,70
632,B그룹,79,60,65
633,B그룹,66,74,81
634,C그룹,75,88,85
635,D그룹,84,84,80
636,A그룹,71,74,64
637,B그룹,67,80,81
638,D그룹,80,92,88
639,group E,86,76,74
640,D그룹,76,74,73
641,D그룹,41,52,51
642,D그룹,74,88,90
643,B그룹,72,81,79
644,group E,74,79,80
645,B그룹,70,65,60
646,B그룹,65,81,81
647,D그룹,59,70,65
648,group E,64,62,68
649,B그룹,50,53,55
650,D그룹,69,79,81
651,C그룹,51,56,53
652,A그룹,68,80,76
653,D그룹,85,86,98
654,A그룹,65,70,74
655,B그룹,73,79,79
656,B그룹,62,67,67
657,C그룹,77,67,64
658,D그룹,69,66,61
659,D그룹,43,60,58
660,D그룹,90,87,85
661,C그룹,74,77,73
662,C그룹,73,66,63
663,D그룹,55,71,69
664,C그룹,65,69,67
665,D그룹,80,63,63
666,C그룹,50,60,60
667,C그룹,63,73,71
668,B그룹,77,85,87
669,C그룹,73,74,61
670,D그룹,81,72,77
671,C그룹,66,76,68
672,D그룹,52,57,50
673,C그룹,69,78,76
674,C그룹,65,84,84
675,D그룹,69,77,78
676,B그룹,50,64,66
677,group E,73,78,76
678,C그룹,70,82,76
679,D그룹,81,75,78
680,D그룹,63,61,60
681,D그룹,67,72,74
682,B그룹,60,68,60
683,B그룹,62,55,54
684,C그룹,29,40,44
685,B그룹,62,66,68
686,group E,94,99,100
687,group E,85,75,68
688,D그룹,77,78,73
689,A그룹,53,58,44
690,group E,93,90,83
691,C그룹,49,53,53
692,group E,73,76,78
693,C그룹,66,74,81
694,D그룹,77,77,73
695,C그룹,49,63,56
696,D그룹,79,89,86
697,C그룹,75,82,90
698,A그룹,59,72,70
699,D그룹,57,78,79
700,C그룹,66,66,59
701,group E,79,81,82
702,B그룹,57,67,72
703,A그룹,87,84,87
704,D그룹,63,64,67
705,B그룹,59,63,64
706,A그룹,62,72,65
707,D그룹,46,34,36
708,C그룹,66,59,52
709,D그룹,89,87,79
710,D그룹,42,61,58
711,C그룹,93,84,90
712,group E,80,85,85
713,D그룹,98,100,99
714,D그룹,81,81,84
715,B그룹,60,70,74
716,B그룹,76,94,87
717,C그룹,73,78,72
718,C그룹,96,96,99
719,C그룹,76,76,74
720,group E,91,73,80
721,C그룹,62,72,70
722,D그룹,55,59,59
723,B그룹,74,90,88
724,C그룹,50,48,42
725,B그룹,47,43,41
726,group E,81,74,71
727,group E,65,75,77
728,group E,68,51,57
729,D그룹,73,92,84
730,C그룹,53,39,37
731,B그룹,68,77,80
732,A그룹,55,46,43
733,C그룹,87,89,94
734,D그룹,55,47,44
735,group E,53,58,57
736,C그룹,67,57,59
737,C그룹,92,79,84
738,B그룹,53,66,73
739,D그룹,81,71,73
740,C그룹,61,60,55
741,D그룹,80,73,72
742,A그룹,37,57,56
743,C그룹,81,84,82
744,C그룹,59,73,72
745,B그룹,55,55,47
746,D그룹,72,79,74
747,D그룹,69,75,71
748,C그룹,69,64,68
749,C그룹,50,60,59
750,B그룹,87,84,86
751,D그룹,71,69,68
752,group E,68,72,65
753,C그룹,79,77,75
754,C그룹,77,90,85
755,C그룹,58,55,53
756,group E,84,95,92
757,D그룹,55,58,52
758,group E,70,68,72
759,D그룹,52,59,65
760,B그룹,69,77,77
761,C그룹,53,72,64
762,D그룹,48,58,54
763,D그룹,78,81,86
764,B그룹,62,62,63
765,D그룹,60,63,59
766,B그룹,74,72,72
767,C그룹,58,75,77
768,B그룹,76,62,60
769,D그룹,68,71,75
770,A그룹,58,60,57
771,B그룹,52,48,49
772,D그룹,75,73,74
773,B그룹,52,67,72
774,C그룹,62,78,79
775,B그룹,66,65,60
776,B그룹,49,58,55
777,B그룹,66,72,70
778,C그룹,35,44,43
779,A그룹,72,79,82
780,group E,94,85,82
781,D그룹,46,56,57
782,B그룹,77,90,84
783,B그룹,76,85,82
784,C그룹,52,59,62
785,C그룹,91,81,79
786,B그룹,32,51,44
787,group E,72,79,77
788,B그룹,19,38,32
789,C그룹,68,65,61
790,C그룹,52,65,61
791,B그룹,48,62,60
792,D그룹,60,66,70
793,D그룹,66,74,69
794,group E,89,84,77
795,B그룹,42,52,51
796,group E,57,68,73
797,D그룹,70,70,70
798,group E,70,84,81
799,group E,69,60,54
800,C그룹,52,55,57
801,C그룹,67,73,68
802,C그룹,76,80,73
803,group E,87,94,95
804,B그룹,82,85,87
805,C그룹,73,76,78
806,A그룹,75,81,74
807,D그룹,64,74,75
808,group E,41,45,40
809,C그룹,90,75,69
810,B그룹,59,54,51
811,A그룹,51,31,36
812,A그룹,45,47,49
813,C그룹,54,64,67
814,group E,87,84,76
815,C그룹,72,80,83
816,B그룹,94,86,87
817,A그룹,45,59,64
818,D그룹,61,70,76
819,B그룹,60,72,68
820,C그룹,77,91,88
821,A그룹,85,90,92
822,D그룹,78,90,93
823,group E,49,52,51
824,B그룹,71,87,82
825,C그룹,48,58,52
826,C그룹,62,67,58
827,C그룹,56,68,70
828,C그룹,65,69,76
829,D그룹,69,86,81
830,B그룹,68,54,53
831,A그룹,61,60,57
832,C그룹,74,86,89
833,A그룹,64,60,58
834,B그룹,77,82,89
835,B그룹,58,50,45
836,C그룹,60,64,74
837,group E,73,64,57
838,A그룹,75,82,79
839,B그룹,58,57,53
840,C그룹,66,77,73
841,D그룹,39,52,46
842,C그룹,64,58,51
843,B그룹,23,44,36
844,B그룹,74,77,76
845,D그룹,40,65,64
846,group E,90,85,84
847,C그룹,91,85,85
848,D그룹,64,54,50
849,C그룹,59,72,68
850,D그룹,80,75,69
851,C그룹,71,67,67
852,A그룹,61,68,63
853,group E,87,85,93
854,group E,82,67,61
855,C그룹,62,64,55
856,B그룹,97,97,96
857,B그룹,75,68,65
858,C그룹,65,79,81
859,B그룹,52,49,46
860,C그룹,87,73,72
861,C그룹,53,62,53
862,group E,81,86,87
863,D그룹,39,42,38
864,C그룹,71,71,80
865,C그룹,97,93,91
866,D그룹,82,82,88
867,C그룹,59,53,52
868,B그룹,61,42,41
869,group E,78,74,72
870,C그룹,49,51,51
871,B그룹,59,58,47
872,C그룹,70,72,76
873,B그룹,82,84,78
874,group E,90,90,82
875,C그룹,43,62,61
876,C그룹,80,64,66
877,D그룹,81,82,84
878,C그룹,57,61,54
879,D그룹,59,72,80
880,D그룹,64,76,74
881,C그룹,63,64,66
882,group E,71,70,70
883,B그룹,64,73,71
884,D그룹,55,46,44
885,group E,51,51,54
886,C그룹,62,76,80
887,group E,93,100,95
888,C그룹,54,72,59
889,D그룹,69,65,74
890,D그룹,44,51,48
891,group E,86,85,91
892,group E,85,92,85
893,A그룹,50,67,73
894,D그룹,88,74,75
895,group E,59,62,69
896,group E,32,34,38
897,B그룹,36,29,27
898,B그룹,63,78,79
899,D그룹,67,54,63
900,D그룹,65,78,82
901,D그룹,85,84,89
902,C그룹,73,78,74
903,A그룹,34,48,41
904,D그룹,93,100,100
905,D그룹,67,84,84
906,D그룹,88,77,77
907,B그룹,57,48,51
908,D그룹,79,84,91
909,C그룹,67,75,72
910,group E,70,64,70
911,D그룹,50,42,48
912,A그룹,69,84,82
913,C그룹,52,61,66
914,C그룹,47,62,66
915,B그룹,46,61,55
916,group E,68,70,66
917,group E,100,100,100
918,C그룹,44,61,52
919,C그룹,57,77,80
920,B그룹,91,96,91
921,D그룹,69,70,67
922,C그룹,35,53,46
923,D그룹,72,66,66
924,B그룹,54,65,65
925,D그룹,74,70,69
926,group E,74,64,60
927,group E,64,56,52
928,D그룹,65,61,71
929,group E,46,43,44
930,C그룹,48,56,51
931,C그룹,67,74,70
932,D그룹,62,57,62
933,D그룹,61,71,73
934,C그룹,70,75,74
935,C그룹,98,87,90
936,D그룹,70,63,58
937,A그룹,67,57,53
938,group E,57,58,57
939,D그룹,85,81,85
940,D그룹,77,68,69
941,C그룹,72,66,72
942,D그룹,78,91,96
943,C그룹,81,66,64
944,A그룹,61,62,61
945,B그룹,58,68,61
946,C그룹,54,61,58
947,B그룹,82,82,80
948,D그룹,49,58,60
949,B그룹,49,50,52
950,group E,57,75,73
951,group E,94,73,71
952,D그룹,75,77,83
953,group E,74,74,72
954,C그룹,58,52,54
955,C그룹,62,69,69
956,group E,72,57,62
957,C그룹,84,87,81
958,D그룹,92,100,100
959,D그룹,45,63,59
960,C그룹,75,81,71
961,A그룹,56,58,64
962,D그룹,48,54,53
963,group E,100,100,100
964,C그룹,65,76,75
965,D그룹,72,57,58
966,D그룹,62,70,72
967,A그룹,66,68,64
968,C그룹,63,63,60
969,group E,68,76,67
970,B그룹,75,84,80
971,D그룹,89,100,100
972,C그룹,78,72,69
973,A그룹,53,50,60
974,D그룹,49,65,61
975,A그룹,54,63,67
976,C그룹,64,82,77
977,B그룹,60,62,60
978,C그룹,62,65,58
979,D그룹,55,41,48
980,C그룹,91,95,94
981,B그룹,8,24,23
982,D그룹,81,78,78
983,B그룹,79,85,86
984,A그룹,78,87,91
985,C그룹,74,75,82
986,A그룹,57,51,54
987,C그룹,40,59,51
988,group E,81,75,76
989,A그룹,44,45,45
990,D그룹,67,86,83
991,group E,86,81,75
992,B그룹,65,82,78
993,D그룹,55,76,76
994,D그룹,62,72,74
995,A그룹,63,63,62
996,group E,88,99,95
997,C그룹,62,55,55
998,C그룹,59,71,65
999,D그룹,68,78,77
1000,D그룹,77,86,86
