ID,단과대학,수강 과목 수
281,공과대학,6개 이상
282,공과대학,6개 이상
283,공과대학,6개 이상
284,공과대학,6개 이상
285,공과대학,6개 이상
286,공과대학,6개 이상
287,공과대학,6개 이상
288,공과대학,6개 이상
289,공과대학,6개 이상
290,공과대학,6개 이상
291,공과대학,6개 이상
292,공과대학,6개 이상
293,공과대학,6개 이상
294,공과대학,6개 이상
295,공과대학,6개 이상
296,공과대학,6개 이상
297,공과대학,6개 이상
298,공과대학,6개 이상
299,공과대학,6개 이상
300,공과대학,6개 이상
