Gender,Education,Occupation Type,Residence Type,Experience Using Metaverse,Age,Annual Salary,Preferred Metaverse Type
male,Bachelor's degree,Fishing industry,Multiple home,yes,29,275336,2
male,High school graduate,Broadcasting industry,Multi-family home,no,25,307438,3
male,Master's degree,Maintenance industry,Multiple home,yes,68,321725,1
other,Elementary school graduate,Distribution industry,Multiple home,no,57,344038,1
other,Middle school graduate,Mining,Officetel,yes,46,154642,2
female,Middle school graduate,Agriculture,Multi-family home,yes,61,95370,1
male,Doctorate,Forestry,Multiple home,yes,83,461381,1
male,Bachelor's degree,Forestry,Multi-family home,yes,69,160464,3
male,Bachelor's degree,Maintenance industry,Single-family home,yes,35,365679,0
other,Bachelor's degree,Manufacturing industry,Officetel,yes,73,222116,0
other,Master's degree,Construction industry,Multiple home,yes,36,427027,0
other,Master's degree,Manufacturing industry,Multiple home,no,19,232300,1
female,Doctorate,Fishing industry,Single-family home,yes,24,276322,0
other,Bachelor's degree,Forestry,Officetel,no,55,521490,0
male,Middle school graduate,Mining,Multi-family home,yes,48,403546,1
other,Elementary school graduate,Fishing industry,Officetel,yes,31,79718,3
other,Master's degree,Water industry,Multiple home,no,2,343153,0
other,Elementary school graduate,Repair industry,Townhouse,yes,66,464076,3
other,Bachelor's degree,Electric power industry,Apartment,yes,65,98720,0
other,High school graduate,Maintenance industry,Multiple home,no,72,346525,2
female,Master's degree,Agriculture,Single-family home,yes,78,37521,0
male,Elementary school graduate,Wholesale industry,Multi-family home,yes,38,399845,0
other,Doctorate,Fishing industry,Townhouse,yes,37,298526,0
female,Bachelor's degree,Service industry,Single-family home,yes,36,160299,3
other,Bachelor's degree,Insurance industry,Multiple home,yes,87,101142,2
other,Master's degree,Retail industry,Single-family home,no,99,88976,0
female,Bachelor's degree,Maintenance industry,Multiple home,yes,46,37229,3
female,High school graduate,Water industry,Multi-family home,no,66,84887,2
female,High school graduate,Gas industry,Apartment,no,39,99007,0
female,Middle school graduate,Agriculture,Apartment,no,50,38946,1
female,Elementary school graduate,Maintenance industry,Single-family home,no,48,342448,1
male,Master's degree,Manufacturing industry,Single-family home,yes,92,397211,2
other,Bachelor's degree,Distribution industry,Single-family home,no,71,201488,3
female,Master's degree,Mining,Multiple home,yes,26,172331,1
other,Bachelor's degree,Water industry,Multi-family home,yes,30,15730,0
male,Elementary school graduate,Finance industry,Apartment,yes,22,241815,3
male,Master's degree,Gas industry,Townhouse,yes,87,196200,0
other,Doctorate,Manufacturing industry,Officetel,no,80,456972,3
female,Doctorate,Mining,Apartment,no,24,384866,1
other,Middle school graduate,Construction industry,Townhouse,yes,50,264737,0
female,Middle school graduate,Agriculture,Officetel,no,17,321581,1
other,Master's degree,Manufacturing industry,Multiple home,no,19,232300,1
male,High school graduate,Fishing industry,Officetel,yes,102,78218,2
female,Master's degree,Repair industry,Multiple home,no,9,259078,2
male,Middle school graduate,Insurance industry,Multiple home,no,34,217384,2
other,High school graduate,Agriculture,Single-family home,no,66,252188,2
other,Bachelor's degree,Service industry,Officetel,no,47,274003,0
male,High school graduate,Agriculture,Officetel,yes,11,359600,1
female,Doctorate,Retail industry,Multiple home,no,35,311479,2
other,High school graduate,Service industry,Townhouse,yes,88,390714,3
male,Doctorate,Wholesale industry,Single-family home,no,82,200994,2
other,Bachelor's degree,Service industry,Multi-family home,yes,28,268612,3
female,Master's degree,Insurance industry,Apartment,yes,18,443420,3
other,Middle school graduate,Fishing industry,Officetel,yes,67,179375,1
female,High school graduate,Fishing industry,Officetel,no,1,363398,1
female,Middle school graduate,Repair industry,Multiple home,yes,19,117949,0
female,Doctorate,Retail industry,Apartment,yes,58,109329,1
female,High school graduate,Service industry,Apartment,yes,86,413200,2
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
other,Middle school graduate,Service industry,Single-family home,no,31,164558,3
other,Bachelor's degree,Finance industry,Multiple home,no,21,303321,2
male,Master's degree,Fishing industry,Apartment,no,89,199654,2
male,Middle school graduate,Agriculture,Townhouse,no,29,331814,2
male,High school graduate,Distribution industry,Multi-family home,no,91,443819,0
female,Elementary school graduate,Construction industry,Multiple home,no,29,275846,2
male,Bachelor's degree,Electric power industry,Multi-family home,no,31,354610,0
male,Elementary school graduate,Mining,Multi-family home,yes,48,412087,0
other,Master's degree,Construction industry,Multiple home,yes,36,427027,0
other,Bachelor's degree,Repair industry,Multiple home,no,58,233563,3
female,Doctorate,Retail industry,Multiple home,no,35,311479,2
male,High school graduate,Manufacturing industry,Apartment,yes,75,235872,1
other,Doctorate,Service industry,Apartment,no,43,437552,0
male,Master's degree,Distribution industry,Multiple home,yes,18,16596,1
female,Elementary school graduate,Retail industry,Apartment,yes,73,181382,3
other,High school graduate,Distribution industry,Multiple home,no,54,344530,1
other,Bachelor's degree,Retail industry,Single-family home,no,68,186279,2
male,High school graduate,Service industry,Officetel,yes,69,409225,0
female,Doctorate,Construction industry,Townhouse,yes,32,449434,3
male,Bachelor's degree,Service industry,Multi-family home,no,75,286460,0
male,Doctorate,Repair industry,Apartment,no,87,444875,2
female,Master's degree,Gas industry,Officetel,no,54,48988,1
male,Doctorate,Agriculture,Single-family home,no,12,432034,2
other,High school graduate,Mining,Townhouse,no,2,89956,2
male,High school graduate,Forestry,Townhouse,no,87,486268,0
other,High school graduate,Broadcasting industry,Officetel,yes,80,16400,2
other,Middle school graduate,Broadcasting industry,Multi-family home,yes,70,14960,0
male,Doctorate,Gas industry,Multi-family home,no,81,59858,3
female,Bachelor's degree,Manufacturing industry,Multiple home,yes,36,18934,0
male,Elementary school graduate,Retail industry,Multiple home,no,84,14263,0
female,High school graduate,Forestry,Officetel,yes,33,42202,1
female,Elementary school graduate,Broadcasting industry,Multi-family home,no,93,138450,1
male,Middle school graduate,Electric power industry,Officetel,no,37,256660,3
other,Master's degree,Finance industry,Apartment,yes,100,278479,1
female,Bachelor's degree,Broadcasting industry,Multiple home,no,58,111061,2
female,Middle school graduate,Mining,Officetel,no,56,116068,1
other,Middle school graduate,Finance industry,Multiple home,no,18,61348,1
male,Doctorate,Mining,Single-family home,yes,91,19480,3
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
female,Middle school graduate,Insurance industry,Multiple home,yes,25,480316,3
male,Master's degree,Fishing industry,Multi-family home,yes,80,278370,2
male,Middle school graduate,Construction industry,Multiple home,yes,41,420284,0
male,Bachelor's degree,Electric power industry,Apartment,yes,80,99676,0
female,Bachelor's degree,Wholesale industry,Townhouse,no,71,218622,0
female,Elementary school graduate,Finance industry,Apartment,yes,62,199265,3
other,Master's degree,Service industry,Apartment,no,11,290950,0
male,Bachelor's degree,Electric power industry,Multiple home,yes,31,451627,1
male,High school graduate,Retail industry,Multiple home,no,75,258753,3
other,Doctorate,Forestry,Apartment,yes,68,227346,2
female,Bachelor's degree,Manufacturing industry,Multiple home,yes,67,505166,0
female,Middle school graduate,Insurance industry,Officetel,yes,96,440264,2
other,High school graduate,Finance industry,Multiple home,no,6,506572,0
female,Elementary school graduate,Distribution industry,Multi-family home,yes,86,106267,0
other,High school graduate,Construction industry,Multiple home,yes,85,498421,1
other,High school graduate,Water industry,Officetel,yes,103,188371,0
female,Bachelor's degree,Fishing industry,Apartment,no,77,36230,1
male,Doctorate,Maintenance industry,Officetel,yes,16,138735,1
female,Master's degree,Retail industry,Single-family home,no,42,102832,0
female,Doctorate,Fishing industry,Single-family home,yes,12,322849,1
other,Doctorate,Construction industry,Single-family home,no,50,485436,1
male,Middle school graduate,Electric power industry,Officetel,no,37,256660,3
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
male,High school graduate,Service industry,Townhouse,no,34,30605,2
male,Doctorate,Repair industry,Apartment,no,17,366783,3
other,Middle school graduate,Electric power industry,Single-family home,yes,93,146400,3
male,Master's degree,Water industry,Multi-family home,no,63,332559,3
male,Doctorate,Insurance industry,Townhouse,no,53,359172,2
other,Middle school graduate,Gas industry,Multiple home,no,88,154437,2
other,Middle school graduate,Insurance industry,Multiple home,no,99,391304,3
other,Master's degree,Retail industry,Single-family home,no,99,88976,0
male,Bachelor's degree,Distribution industry,Single-family home,no,4,261501,1
other,Doctorate,Manufacturing industry,Townhouse,yes,50,172358,0
other,Elementary school graduate,Water industry,Officetel,no,59,128323,1
female,Elementary school graduate,Agriculture,Townhouse,no,59,372567,2
other,Middle school graduate,Gas industry,Single-family home,yes,46,406436,1
male,Elementary school graduate,Forestry,Single-family home,yes,12,279276,0
female,Bachelor's degree,Manufacturing industry,Apartment,no,55,160142,3
other,Middle school graduate,Maintenance industry,Officetel,yes,78,439759,2
male,Master's degree,Manufacturing industry,Officetel,yes,3,63658,0
male,Middle school graduate,Manufacturing industry,Single-family home,yes,24,418290,2
female,Master's degree,Mining,Multiple home,yes,26,172331,1
male,High school graduate,Maintenance industry,Multi-family home,no,56,241256,0
female,Middle school graduate,Mining,Officetel,no,56,116068,1
female,Bachelor's degree,Fishing industry,Apartment,no,77,36230,1
male,Master's degree,Manufacturing industry,Officetel,yes,3,63658,0
female,Doctorate,Gas industry,Officetel,yes,15,500555,2
other,Bachelor's degree,Electric power industry,Apartment,no,44,179523,3
male,High school graduate,Fishing industry,Apartment,yes,88,86263,2
male,High school graduate,Broadcasting industry,Single-family home,yes,26,264925,1
male,High school graduate,Gas industry,Townhouse,no,28,450496,3
female,Bachelor's degree,Finance industry,Multi-family home,yes,96,299377,3
male,Middle school graduate,Manufacturing industry,Apartment,yes,59,472103,3
female,Elementary school graduate,Finance industry,Apartment,yes,62,199265,3
male,High school graduate,Broadcasting industry,Multi-family home,no,25,307438,3
other,Bachelor's degree,Mining,Apartment,yes,50,267471,3
male,Middle school graduate,Manufacturing industry,Townhouse,no,10,90360,0
other,Master's degree,Forestry,Multi-family home,yes,59,210441,2
other,Doctorate,Water industry,Single-family home,yes,85,366188,3
other,Elementary school graduate,Insurance industry,Multiple home,no,16,297344,2
female,Doctorate,Agriculture,Multi-family home,no,72,356540,1
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
other,Bachelor's degree,Mining,Apartment,yes,50,267471,3
female,Doctorate,Finance industry,Multiple home,no,91,48933,3
male,Elementary school graduate,Agriculture,Multiple home,no,4,220246,1
female,Elementary school graduate,Wholesale industry,Apartment,no,76,144766,1
male,High school graduate,Maintenance industry,Multiple home,yes,84,95971,3
female,Bachelor's degree,Broadcasting industry,Multi-family home,yes,15,89592,3
other,Elementary school graduate,Service industry,Multi-family home,no,3,337886,0
male,Elementary school graduate,Fishing industry,Single-family home,no,9,206391,0
male,Middle school graduate,Retail industry,Multiple home,no,65,369787,1
female,High school graduate,Fishing industry,Officetel,no,1,363398,1
other,Master's degree,Forestry,Multi-family home,yes,59,210441,2
other,Doctorate,Maintenance industry,Multiple home,yes,53,410669,3
female,Middle school graduate,Fishing industry,Apartment,no,27,66962,1
other,Bachelor's degree,Gas industry,Officetel,no,61,253638,2
female,High school graduate,Repair industry,Single-family home,yes,20,49339,0
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
female,High school graduate,Mining,Multi-family home,yes,77,428513,1
male,Elementary school graduate,Electric power industry,Townhouse,yes,29,412374,0
female,Master's degree,Water industry,Single-family home,no,88,254817,3
male,Master's degree,Manufacturing industry,Townhouse,no,18,329261,0
female,Middle school graduate,Broadcasting industry,Multiple home,yes,53,40744,1
other,High school graduate,Water industry,Multi-family home,no,25,129075,0
other,Master's degree,Water industry,Multiple home,no,2,343153,0
female,Elementary school graduate,Construction industry,Officetel,yes,89,420893,0
female,Bachelor's degree,Finance industry,Multiple home,yes,85,173992,1
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
female,Middle school graduate,Construction industry,Apartment,no,39,401154,3
male,Doctorate,Electric power industry,Multi-family home,yes,70,193877,0
male,Elementary school graduate,Wholesale industry,Multi-family home,yes,38,399845,0
other,High school graduate,Construction industry,Multi-family home,yes,49,36709,1
male,Doctorate,Fishing industry,Apartment,yes,74,264021,1
male,Doctorate,Finance industry,Multiple home,yes,56,42247,2
other,High school graduate,Service industry,Apartment,yes,45,112444,3
other,High school graduate,Distribution industry,Single-family home,no,39,284685,3
female,Master's degree,Gas industry,Townhouse,yes,85,340673,3
male,Bachelor's degree,Electric power industry,Multi-family home,no,31,354610,0
female,High school graduate,Mining,Officetel,no,63,266195,0
other,Elementary school graduate,Finance industry,Single-family home,no,69,52820,0
other,Bachelor's degree,Electric power industry,Apartment,yes,65,98720,0
female,Doctorate,Retail industry,Single-family home,yes,62,78548,2
male,Master's degree,Repair industry,Multiple home,no,34,31198,0
male,Doctorate,Wholesale industry,Multiple home,no,44,319486,3
other,Middle school graduate,Gas industry,Multiple home,yes,36,148052,0
male,Elementary school graduate,Mining,Townhouse,no,88,395513,3
female,Doctorate,Manufacturing industry,Officetel,no,80,127683,1
other,Doctorate,Finance industry,Officetel,no,92,23806,2
male,Elementary school graduate,Construction industry,Multiple home,no,86,317848,2
other,Elementary school graduate,Fishing industry,Multi-family home,yes,61,296434,1
female,Bachelor's degree,Water industry,Single-family home,yes,60,64564,3
female,Master's degree,Retail industry,Single-family home,no,42,102832,0
female,High school graduate,Service industry,Officetel,no,7,471202,2
female,Middle school graduate,Construction industry,Townhouse,yes,50,438058,2
other,Master's degree,Manufacturing industry,Multi-family home,yes,77,326114,0
male,Elementary school graduate,Broadcasting industry,Townhouse,yes,82,35847,2
female,Master's degree,Gas industry,Officetel,no,54,48988,1
other,Bachelor's degree,Service industry,Townhouse,yes,93,437881,2
other,Doctorate,Gas industry,Multiple home,yes,4,400387,1
other,Doctorate,Retail industry,Multi-family home,yes,67,282530,1
male,Middle school graduate,Maintenance industry,Multi-family home,yes,24,260831,3
male,Elementary school graduate,Broadcasting industry,Townhouse,yes,82,35847,2
male,Bachelor's degree,Electric power industry,Multi-family home,no,31,354610,0
female,Elementary school graduate,Distribution industry,Single-family home,yes,101,299520,2
female,Bachelor's degree,Finance industry,Multi-family home,yes,96,299377,3
other,Doctorate,Service industry,Apartment,no,43,437552,0
female,High school graduate,Agriculture,Multi-family home,no,56,135827,2
other,Master's degree,Manufacturing industry,Multiple home,no,19,232300,1
male,Master's degree,Distribution industry,Multiple home,no,36,185535,3
female,Master's degree,Maintenance industry,Officetel,yes,26,309138,2
male,Bachelor's degree,Fishing industry,Multiple home,yes,29,275336,2
female,Bachelor's degree,Gas industry,Single-family home,yes,60,383688,0
male,Middle school graduate,Distribution industry,Single-family home,yes,78,333316,3
female,Master's degree,Distribution industry,Multiple home,yes,1,341134,0
male,Elementary school graduate,Construction industry,Multiple home,no,86,317848,2
other,Elementary school graduate,Electric power industry,Apartment,no,50,123964,0
male,Bachelor's degree,Retail industry,Single-family home,no,2,392190,0
male,Bachelor's degree,Manufacturing industry,Multi-family home,no,45,101502,3
other,High school graduate,Fishing industry,Apartment,yes,62,11089,0
other,Bachelor's degree,Service industry,Townhouse,yes,93,437881,2
female,Bachelor's degree,Electric power industry,Townhouse,no,38,472211,1
other,High school graduate,Wholesale industry,Townhouse,yes,86,56549,2
other,Elementary school graduate,Forestry,Officetel,yes,71,482422,3
male,Bachelor's degree,Retail industry,Officetel,no,18,193290,3
female,Middle school graduate,Retail industry,Multiple home,yes,40,346046,3
female,Bachelor's degree,Manufacturing industry,Multiple home,yes,67,505166,0
male,Master's degree,Manufacturing industry,Single-family home,yes,67,249545,1
other,High school graduate,Distribution industry,Officetel,no,48,442500,2
other,Bachelor's degree,Agriculture,Officetel,yes,11,233528,2
other,Elementary school graduate,Fishing industry,Townhouse,no,97,120974,1
female,Bachelor's degree,Fishing industry,Single-family home,no,87,397793,3
male,Middle school graduate,Distribution industry,Single-family home,yes,20,409187,2
other,Bachelor's degree,Insurance industry,Multiple home,yes,87,101142,2
other,Doctorate,Mining,Single-family home,no,33,194776,0
male,Bachelor's degree,Retail industry,Single-family home,no,2,392190,0
male,Middle school graduate,Forestry,Officetel,no,44,407221,1
female,Master's degree,Gas industry,Townhouse,yes,85,340673,3
other,Master's degree,Forestry,Multi-family home,yes,59,210441,2
male,Doctorate,Wholesale industry,Multiple home,no,44,319486,3
male,Master's degree,Gas industry,Townhouse,yes,87,196200,0
male,Bachelor's degree,Retail industry,Single-family home,no,2,392190,0
male,Middle school graduate,Broadcasting industry,Townhouse,no,29,461819,0
male,High school graduate,Mining,Multiple home,yes,19,496644,1
other,Middle school graduate,Maintenance industry,Multi-family home,no,73,322239,3
other,Master's degree,Manufacturing industry,Multiple home,no,19,232300,1
female,Middle school graduate,Service industry,Townhouse,yes,73,58178,0
male,Middle school graduate,Repair industry,Single-family home,no,41,49273,1
male,Middle school graduate,Broadcasting industry,Townhouse,no,29,461819,0
female,High school graduate,Gas industry,Apartment,no,39,99007,0
male,Elementary school graduate,Fishing industry,Single-family home,no,9,206391,0
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
male,Bachelor's degree,Service industry,Multi-family home,no,75,286460,0
male,Middle school graduate,Repair industry,Single-family home,no,19,56769,0
male,Master's degree,Water industry,Multi-family home,no,63,332559,3
female,Middle school graduate,Insurance industry,Officetel,no,56,436840,2
female,Middle school graduate,Broadcasting industry,Multiple home,no,15,424552,3
male,High school graduate,Construction industry,Officetel,no,10,206273,1
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
male,Elementary school graduate,Repair industry,Apartment,no,93,36785,0
male,Elementary school graduate,Electric power industry,Apartment,yes,71,51263,2
female,Middle school graduate,Manufacturing industry,Officetel,yes,4,52978,0
other,Doctorate,Repair industry,Single-family home,yes,70,26887,1
other,Bachelor's degree,Retail industry,Single-family home,yes,96,116931,1
other,Bachelor's degree,Distribution industry,Multiple home,no,97,128764,3
other,Bachelor's degree,Repair industry,Multiple home,no,58,233563,3
female,Middle school graduate,Retail industry,Multiple home,yes,40,346046,3
other,Elementary school graduate,Distribution industry,Multiple home,no,57,344038,1
other,Doctorate,Finance industry,Officetel,yes,75,152814,0
male,High school graduate,Insurance industry,Multiple home,no,35,134662,3
other,Doctorate,Agriculture,Officetel,no,50,120677,3
male,Bachelor's degree,Electric power industry,Officetel,no,61,205805,3
male,Bachelor's degree,Broadcasting industry,Single-family home,yes,46,413632,3
male,Middle school graduate,Finance industry,Officetel,yes,89,73496,2
other,Middle school graduate,Electric power industry,Single-family home,yes,93,146400,3
other,Doctorate,Water industry,Single-family home,yes,85,366188,3
male,Doctorate,Water industry,Apartment,no,79,62043,1
other,Bachelor's degree,Electric power industry,Apartment,no,44,179523,3
male,Elementary school graduate,Repair industry,Multiple home,no,91,457330,1
other,Master's degree,Manufacturing industry,Officetel,yes,85,509530,1
other,Master's degree,Broadcasting industry,Officetel,yes,75,433082,3
female,Middle school graduate,Broadcasting industry,Multiple home,no,15,424552,3
male,High school graduate,Finance industry,Officetel,yes,61,286863,3
other,High school graduate,Forestry,Multi-family home,yes,38,77561,2
other,High school graduate,Distribution industry,Officetel,no,48,442500,2
male,High school graduate,Manufacturing industry,Townhouse,no,69,9919,2
male,Master's degree,Agriculture,Apartment,yes,84,214036,2
male,Doctorate,Wholesale industry,Multiple home,no,44,319486,3
female,Elementary school graduate,Construction industry,Multi-family home,no,43,315266,2
male,Middle school graduate,Maintenance industry,Multi-family home,yes,24,260831,3
other,Master's degree,Maintenance industry,Townhouse,yes,87,13705,2
other,Bachelor's degree,Retail industry,Townhouse,no,36,301350,1
male,Middle school graduate,Water industry,Multi-family home,no,5,248672,0
female,Bachelor's degree,Service industry,Multiple home,yes,41,336383,2
male,Doctorate,Fishing industry,Single-family home,no,12,16577,3
female,High school graduate,Finance industry,Officetel,yes,28,165712,3
other,High school graduate,Service industry,Multi-family home,yes,13,58962,1
other,Doctorate,Finance industry,Officetel,no,92,23806,2
female,High school graduate,Finance industry,Single-family home,yes,27,180890,2
female,Elementary school graduate,Fishing industry,Townhouse,yes,91,149244,2
male,Master's degree,Agriculture,Apartment,yes,84,214036,2
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
male,Middle school graduate,Manufacturing industry,Single-family home,yes,24,418290,2
other,Bachelor's degree,Mining,Apartment,yes,75,351161,0
male,Middle school graduate,Fishing industry,Townhouse,no,10,443042,1
other,Master's degree,Mining,Single-family home,no,37,327653,2
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
male,Doctorate,Service industry,Multi-family home,no,86,261093,1
other,Elementary school graduate,Fishing industry,Officetel,yes,51,495881,0
male,Master's degree,Wholesale industry,Multiple home,yes,16,288301,1
male,Master's degree,Repair industry,Apartment,yes,68,274860,1
male,Doctorate,Forestry,Multiple home,yes,20,87676,2
male,Elementary school graduate,Electric power industry,Single-family home,yes,35,509197,2
male,Middle school graduate,Agriculture,Townhouse,no,29,331814,2
other,Elementary school graduate,Mining,Townhouse,yes,15,137462,2
female,Doctorate,Water industry,Multiple home,no,63,62960,3
female,Master's degree,Electric power industry,Officetel,no,19,327463,3
male,Bachelor's degree,Retail industry,Apartment,no,12,91490,2
female,Bachelor's degree,Agriculture,Multi-family home,yes,66,334841,2
other,High school graduate,Water industry,Officetel,no,57,390097,2
other,Elementary school graduate,Wholesale industry,Townhouse,yes,86,145895,3
male,Doctorate,Insurance industry,Townhouse,no,53,359172,2
female,Elementary school graduate,Agriculture,Single-family home,yes,87,141364,0
male,High school graduate,Agriculture,Multi-family home,yes,67,100013,3
male,Bachelor's degree,Maintenance industry,Apartment,no,58,472806,0
female,High school graduate,Insurance industry,Multi-family home,no,91,302541,1
male,Master's degree,Mining,Apartment,yes,67,333586,0
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
female,Doctorate,Water industry,Multi-family home,no,87,266061,1
female,High school graduate,Retail industry,Single-family home,no,74,470326,3
male,Doctorate,Fishing industry,Apartment,yes,74,264021,1
female,Doctorate,Fishing industry,Officetel,no,61,283795,0
female,Elementary school graduate,Service industry,Multi-family home,yes,26,276044,0
male,Elementary school graduate,Electric power industry,Officetel,no,48,295334,1
male,Master's degree,Mining,Multi-family home,no,51,61303,2
female,Middle school graduate,Forestry,Single-family home,no,71,22459,2
other,High school graduate,Maintenance industry,Multiple home,no,72,346525,2
male,Master's degree,Wholesale industry,Apartment,yes,2,187055,1
other,Elementary school graduate,Fishing industry,Townhouse,no,11,288854,0
female,High school graduate,Mining,Officetel,no,63,266195,0
male,Elementary school graduate,Insurance industry,Officetel,no,7,15034,2
male,Middle school graduate,Electric power industry,Officetel,yes,79,309246,1
female,Doctorate,Repair industry,Multiple home,yes,31,103834,3
other,Middle school graduate,Mining,Officetel,yes,46,154642,2
male,Master's degree,Agriculture,Apartment,yes,84,214036,2
other,Master's degree,Maintenance industry,Apartment,no,38,432999,2
male,Bachelor's degree,Gas industry,Single-family home,yes,85,262960,0
female,Doctorate,Fishing industry,Apartment,no,3,68918,1
female,Doctorate,Wholesale industry,Apartment,yes,58,34041,3
